offset	jp	ko
0x00725	建業	건업
0x0072E	呉	오
0x00737	呉	오
0x00740	呉	오
0x00749	呉	오
0x00752	会稽	회계
0x0075B	会稽	회계
0x00764	会稽	회계
0x0076D	赤壁	적벽
0x00776	赤壁	적벽
0x0077F	柴桑	시상
0x00788	柴桑	시상
0x00791	柴桑	시상
0x0079A	柴桑	시상
0x007A3	建安	건안
0x007AC	建安	건안
0x007B5	建安	건안
0x007BE	南海	남해
0x007C7	南海	남해
0x007D0	南海	남해
0x007D9	南海	남해
0x007E2	交趾	교지
0x007EB	なし	없음
0x007F4	遼東	요동
0x00804	北平	북평
0x00814	薊	계
0x00824	渤海	발해
0x00834	平原	평원
0x00864	上党	상당
0x00876	南	남
0x00974	寿春	수춘
0x00986	江	강
0x00A14	上庸	상용
0x00A26	夏	하
0x00AC4	巴	파
0x00AD4	成都	성도
0x00AE4	建寧	건녕
0x00AF4	永昌	영창
0x00B04	三江	삼강
0x00B14	なし	없음
0x00D7E	皇帝	황제
0x00D8A	魏王	위왕
0x00D96	呉王	오왕
0x00DA2	蜀王	촉왕
0x00DAE	燕王	연왕
0x00DBA	趙王	조왕
0x00DC6	斉王	제왕
0x00DD2	宋王	송왕
0x00DDE	楚王	초왕
0x00DEA	韓王	한왕
0x00DF6	秦王	진왕
0x00E02	越王	월왕
0x00E0E	涼王	양왕
0x00E1A	南蛮王	남만왕
0x00E26	漢中王	한중왕
0x00E32	魏公	위공
0x00E3E	呉公	오공
0x00E4A	蜀公	촉공
0x00E56	燕公	연공
0x00E62	趙公	조공
0x00E6E	斉公	제공
0x00E7A	宋公	송공
0x00E86	楚公	초공
0x00E92	韓公	한공
0x00E9E	秦公	진공
0x00EAA	越公	월공
0x00EB6	涼公	양공
0x00EC2	南蛮公	남만공
0x00ECE	丞相	승상
0x00EDA	大将軍	대장군
0x00EE6	州牧	주목
0x00EF2	なし	없음
0x00EFE	赤兎馬	적토마
0x00F13	的盧	적로
0x00F28	爪黄飛電	조황비전
0x00F3D	絶影	절영
0x00F52	大宛馬	대완마
0x00F67	大宛馬	대완마
0x00F7C	大宛馬	대완마
0x00F91	大宛馬	대완마
0x00FA6	大宛馬	대완마
0x00FBB	七星宝刀	칠성보도
0x00FD0	倚天の剣	의천검
0x00FE5	青釭の剣	청강검
0x00FFA	方天画戟	방천화극
0x0100F	方天画戟	방천화극
0x01024	方天画戟	방천화극
0x01039	方天画戟	방천화극
0x0104E	青龍偃月刀	청룡언월도
0x01063	蛇矛	사모
0x01078	鉄脊蛇矛	철척사모
0x0108D	雌雄一対の剣	자웅일대검
0x010A2	古錠刀	고정도
0x010B7	三尖刀	삼첨도
0x010CC	双鉄戟	쌍철극
0x010E1	大斧	대부
0x010F6	大斧	대부
0x0110B	大斧	대부
0x01120	大斧	대부
0x01135	鉄鞭	철편
0x0114A	鉄鞭	철편
0x0115F	鉄鞭	철편
0x01174	鉄鞭	철편
0x01189	鉄藜骨朶	철려골타
0x0119E	流星鎚	유성추
0x011B3	流星鎚	유성추
0x011C8	流星鎚	유성추
0x011DD	流星鎚	유성추
0x011F2	短戟	단극
0x01207	短戟	단극
0x0121C	短戟	단극
0x01231	短戟	단극
0x01246	飛刀	비도
0x0125B	飛刀	비도
0x01270	飛刀	비도
0x01285	飛刀	비도
0x0129A	手戟	수극
0x012AF	手戟	수극
0x012C4	手戟	수극
0x012D9	手戟	수극
0x012EE	手戟	수극
0x01303	眉尖刀	미첨도
0x01318	眉尖刀	미첨도
0x0132D	眉尖刀	미첨도
0x01342	眉尖刀	미첨도
0x01357	眉尖刀	미첨도
0x0136C	銅鎚	동추
0x01381	銅鎚	동추
0x01396	銅鎚	동추
0x013AB	銅鎚	동추
0x013C0	銅鎚	동추
0x013D5	鉄鎖	철쇄
0x013EA	鉄鎖	철쇄
0x013FF	鉄鎖	철쇄
0x01414	鉄鎖	철쇄
0x01429	鉄鎖	철쇄
0x0143E	袖箭	수전
0x01453	西蜀地形図	서촉지형도
0x01468	平蛮指掌図	평만지장도
0x0147D	太平清領道	태평청령도
0x01492	青嚢書	청낭서
0x014A7	傷寒雑病論	상한잡병론
0x014BC	遁甲天書	둔갑천서
0x014D1	太平要術の書	태평요술서
0x014E6	孫子の兵法書	손자병법서
0x014FB	孫子の兵法書	손자병법서
0x01510	孫子の兵法書	손자병법서
0x01525	孫子の兵法書	손자병법서
0x0153A	孫子の兵法書	손자병법서
0x0154F	兵法二十四編	병법이십사편
0x01564	六韜	육도
0x01579	六韜	육도
0x0158E	六韜	육도
0x015A3	六韜	육도
0x015B8	六韜	육도
0x015CD	孟徳新書	맹덕신서
0x015E2	墨子	묵자
0x015F7	墨子	묵자
0x0160C	墨子	묵자
0x01621	墨子	묵자
0x01636	墨子	묵자
0x0164B	論語	논어
0x01660	論語	논어
0x01675	論語	논어
0x0168A	論語	논어
0x0169F	老子	노자
0x016B4	老子	노자
0x016C9	老子	노자
0x016DE	老子	노자
0x016F3	荘子	장자
0x01708	荘子	장자
0x0171D	荘子	장자
0x01732	荘子	장자
0x01747	詩経	시경
0x0175C	詩経	시경
0x01771	詩経	시경
0x01786	詩経	시경
0x0179B	書経	서경
0x017B0	書経	서경
0x017C5	書経	서경
0x017DA	書経	서경
0x017EF	礼記	예기
0x01804	礼記	예기
0x01819	礼記	예기
0x0182E	礼記	예기
0x01843	易経	역경
0x01858	易経	역경
0x0186D	易経	역경
0x01882	易経	역경
0x01897	春秋左氏伝	춘추좌씨전
0x018AC	春秋左氏伝	춘추좌씨전
0x018C1	春秋左氏伝	춘추좌씨전
0x018D6	春秋左氏伝	춘추좌씨전
0x018EB	春秋左氏伝	춘추좌씨전
0x01900	史記	사기
0x01915	史記	사기
0x0192A	史記	사기
0x0193F	史記	사기
0x01954	史記	사기
0x01969	漢書	한서
0x0197E	漢書	한서
0x01993	漢書	한서
0x019A8	漢書	한서
0x019BD	漢書	한서
0x019D2	漢書	한서
0x019E7	戦国策	전국책
0x019FC	戦国策	전국책
0x01A11	戦国策	전국책
0x01A26	戦国策	전국책
0x01A3B	戦国策	전국책
0x01A50	戦国策	전국책
0x01A65	論語集解	논어집해
0x01A7A	典論	전론
0x01A8F	博奕論	박혁론
0x01AA4	時要論	시요론
0x01AB9	治論	치론
0x01ACE	弁道論	변도론
0x01AE3	乾象暦注	건상력주
0x01AF8	孝経伝	효경전
0x01B0D	仇国論	구국론
0x01B22	玉璽	옥새
0x01B37	九錫	구석
0x01B4C	銅雀	동작
0x01B61	羽扇	우선
0x01B76	長信宮燈	장신궁등
0x01B8B	長信宮燈	장신궁등
0x01BA0	長信宮燈	장신궁등
0x01BB5	長信宮燈	장신궁등
0x01BCA	長信宮燈	장신궁등
0x01BDF	博山炉	박산로
0x01BF4	博山炉	박산로
0x01C09	博山炉	박산로
0x01C1E	博山炉	박산로
0x01C33	博山炉	박산로
0x01C48	龍の方壷	용무늬 방호
0x01C5D	龍の方壷	용무늬 방호
0x01C72	龍の方壷	용무늬 방호
0x01C87	龍の方壷	용무늬 방호
0x01C9C	龍の方壷	용무늬 방호
0x01CB1	漆塗りの鼎	옻칠한 정
0x01CC6	漆塗りの鼎	옻칠한 정
0x01CDB	漆塗りの鼎	옻칠한 정
0x01CF0	漆塗りの鼎	옻칠한 정
0x01D05	漆塗りの鼎	옻칠한 정
0x01D1A	金象嵌の壷	금상감 호
0x01D2F	金象嵌の壷	금상감 호
0x01D44	金象嵌の壷	금상감 호
0x01D59	金象嵌の壷	금상감 호
0x01D6E	金象嵌の壷	금상감 호
0x01D83	和氏の璧	화씨지벽
0x01D98	牛灯	우등
0x01DAD	牛灯	우등
0x01DC2	牛灯	우등
0x01DD7	牛灯	우등
0x01DEC	牛灯	우등
0x01E01	神獣の硯	신수 벼루
0x01E16	神獣の硯	신수 벼루
0x01E2B	神獣の硯	신수 벼루
0x01E40	神獣の硯	신수 벼루
0x01E55	神獣の硯	신수 벼루
0x01E6A	玉龍紋璧	옥룡문벽
0x01E7F	玉龍紋璧	옥룡문벽
0x01E94	玉龍紋璧	옥룡문벽
0x01EA9	玉龍紋璧	옥룡문벽
0x01EBE	玉龍紋璧	옥룡문벽
0x01ED3	呂氏鏡	여씨경
0x01EE8	呂氏鏡	여씨경
0x01EFD	呂氏鏡	여씨경
0x01F12	呂氏鏡	여씨경
0x01F27	呂氏鏡	여씨경
0x01F3C	青釉穀倉罐	청유곡창관
0x01F51	青釉穀倉罐	청유곡창관
0x01F66	青釉穀倉罐	청유곡창관
0x01F7B	青釉穀倉罐	청유곡창관
0x01F90	青釉穀倉罐	청유곡창관
0x01FA5	酒盃	술잔
0x01FBA	酒盃	술잔
0x01FCF	酒盃	술잔
0x01FE4	酒盃	술잔
0x01FF9	酒盃	술잔
0x0200E	酒盃	술잔
0x02023	酒盃	술잔
0x02038	酒盃	술잔
0x0204D	酒盃	술잔
0x02062	酒盃	술잔
0x02077	算盤	주판
0x0208C	算盤	주판
0x020A1	算盤	주판
0x020B6	算盤	주판
0x020CB	算盤	주판
0x020E0	算盤	주판
0x020F5	算盤	주판
0x0210A	算盤	주판
0x0211F	算盤	주판
0x02134	算盤	주판
0x02149	茶	차
0x0215E	茶	차
0x02173	茶	차
0x02188	茶	차
0x0219D	茶	차
0x021B2	茶	차
0x021C7	茶	차
0x021DC	茶	차
0x021F1	琴	거문고
0x02206	古い琴	낡은 거문고
0x0221B	琴	거문고
0x02230	琴	거문고
0x02245	琴	거문고
0x0225A	琴	거문고
0x0226F	琴	거문고
0x02284	琴	거문고
0x02299	金耳墜	금귀걸이
0x022AE	金耳墜	금귀걸이
0x022C3	金耳墜	금귀걸이
0x022D8	金耳墜	금귀걸이
0x022ED	金耳墜	금귀걸이
0x02302	金耳墜	금귀걸이
0x02317	金耳墜	금귀걸이
0x0232C	金耳墜	금귀걸이
0x02341	羅綺香嚢	비단 향낭
0x02356	羅綺香嚢	비단 향낭
0x0236B	羅綺香嚢	비단 향낭
0x02380	羅綺香嚢	비단 향낭
0x02395	羅綺香嚢	비단 향낭
0x023AA	羅綺香嚢	비단 향낭
0x023BF	羅綺香嚢	비단 향낭
0x023D4	羅綺香嚢	비단 향낭
