no	sei	mei	azana	ko_sei	ko_mei	ko_azana
112	橋	瑁	元偉	교	모	원위
113	許	儀		허	의	
114	許	貢		허	공	
115	許	劭	子将	허	소	자장
116	許	靖	文休	허	정	문휴
117	許	〓{F05D}	仲康	허	저	중강
118	許	攸	子遠	허	유	자원
119	紀	霊		기	령	
120	金環	三結		김환	삼결	
121	金	旋	元機	김	선	원기
122	虞	翻	仲翔	우	번	중상
123	〓{F054}	道栄		형	도영	
124	郤	正	令先	극	정	영선
125	厳	顔		엄	안	
126	厳	綱		엄	강	
127	厳	畯	曼才	엄	준	만재
128	厳	白虎		엄	백호	
129	厳	輿		엄	여	
130	呉	懿	子遠	오	의	자원
131	黄	蓋	公覆	황	개	공복
132	高	幹	元才	고	간	원재
133	耿	紀	季行	경	기	계행
134	黄	権	公衡	황	권	공형
135	黄	皓		황	호	
136	高	順		고	순	
137	高	翔		고	상	
138	侯	成		후	성	
139	黄	祖		황	조	
140	公孫	越		공손	월	
141	公孫	淵		공손	연	
142	公孫	恭		공손	공	
143	公孫	康		공손	강	
144	公孫	〓{F040}	伯珪	공손	찬	백규
145	公孫	続		공손	속	
146	公孫	度	升済	공손	도	승제
147	公孫	範		공손	범	
148	孔	〓{F05C}	公緒	공	주	공서
149	黄	忠	漢升	황	충	한승
150	高	定		고	정	
151	高	沛		고	패	
152	皇甫	嵩	義真	황보	숭	의진
153	孔	融	文挙	공	융	문거
154	高	覧		고	람	
155	呉	巨		오	거	
156	吾	彦	子則	오	언	자칙
157	呉	綱		오	강	
158	呉	質	季重	오	질	계중
159	胡	車児		호	거아	
160	胡	遵		호	준	
161	呼	廚泉		호	주천	
162	兀	突骨		올	돌골	
163	胡	班		호	반	
164	呉	班	元雄	오	반	원웅
165	胡	奮	玄威	호	분	현위
166	顧	雍	元歎	고	옹	원탄
167	呉	蘭		오	란	
168	崔	〓{F080}	季珪	최	염	계규
169	蔡	和		채	화	
170	蔡	勳		채	훈	
171	蔡	中		채	중	
172	蔡	瑁	徳珪	채	모	덕규
173	蔡	〓{F047}		채	옹	
174	〓{F077}	融		착	융	
175	左	慈	元放	좌	자	원방
176	鄒	靖		추	정	
177	典	満		전	만	
178	〓{F04C}	会		방	회	
179	楊	弘		양	홍	
180	閻	象		염	상	
181	士孫	瑞	君栄	사손	서	군영
182	司馬	懿	仲達	사마	의	중달
183	司馬	炎	安世	사마	염	안세
184	司馬	徽	徳操	사마	휘	덕조
185	司馬	師	子元	사마	사	자원
186	司馬	昭	子尚	사마	소	자상
187	司馬	孚	叔達	사마	부	숙달
188	司馬	望	子初	사마	망	자초
189	司馬	攸	大猷	사마	유	대유
190	司馬	朗	伯達	사마	랑	백달
191	謝	旌		사	정	
192	車	冑		거	주	
193	沙	摩柯		사	마가	
194	朱	異	季文	주	이	계문
195	周	昕	大明	주	흔	대명
196	周	旨		주	지	
197	周	倉		주	창	
198	周	泰	幼平	주	태	유평
199	州	泰		주	태	
200	周	魴	子魚	주	방	자어
201	周	瑜	公瑾	주	유	공근
202	朱	桓	休穆	주	환	휴목
203	朱	拠	子範	주	거	자범
204	祝	融		축	융	
205	朱	儁	公偉	주	준	공위
206	朱	然	義封	주	연	의봉
207	朱	治	君理	주	치	군리
208	朱	褒		주	포	
209	朱	霊	文博	주	령	문박
210	荀	彧	文若	순	욱	문약
211	淳于	瓊	仲簡	순우	경	중간
212	荀	諶	友若	순	심	우약
213	荀	攸	公達	순	유	공달
214	蒋	〓{F059}	公〓{F080}	장	완	공염
215	鍾	会	士季	종	회	사계
216	蒋	幹	子翼	장	간	자익
217	蒋	義渠		장	의거	
218	蒋	欽	公奕	장	흠	공혁
219	蒋	済	子通	장	제	자통
220	〓{F058}	周	允南	초	주	윤남
221	蒋	舒		장	서	
222	向	寵		상	총	
223	鍾	〓{F04D}	元常	종	요	원상
224	向	朗	巨達	상	랑	거달
225	徐	栄		서	영	
226	諸葛	恪	元遜	제갈	각	원손
227	諸葛	瑾	子瑜	제갈	근	자유
228	諸葛	均		제갈	균	
229	諸葛	尚		제갈	상	
230	諸葛	〓{F07E}	仲思	제갈	정	중사
231	諸葛	瞻	思遠	제갈	첨	사원
232	諸葛	誕	公休	제갈	탄	공휴
233	諸葛	亮	孔明	제갈	량	공명
234	徐	晃	公明	서	황	공명
235	徐	質		서	질	
236	徐	庶	元直	서	서	원직
237	徐	盛	文嚮	서	성	문향
238	徐	〓{F04E}	景山	서	막	경산
239	沈	瑩		심	영	
240	申	儀		신	의	
241	岑	昏		잠	혼	
242	申	耽	義挙	신	탐	의거
243	審	配	正南	심	배	정남
244	辛	〓{F08E}	佐治	신	비	좌치
245	辛	評	仲治	신	평	중치
246	秦	〓{F090}	子〓{F09D}	진	복	자칙
247	〓{F085}	固	白兎	수	고	백토
248	成	宜		성	의	
249	石	苞	仲容	석	포	중용
250	薛	瑩	道言	설	영	도언
251	薛	綜	敬文	설	종	경문
252	全	〓{F092}		전	의	
253	単	経		선	경	
254	全	琮	子〓{F07A}	전	종	자황
255	全	端		전	단	
256	曹	宇	彭祖	조	우	팽조
257	曹	叡	元仲	조	예	원중
258	曹	奐	景明	조	환	경명
259	曹	羲		조	희	
260	曹	休	文烈	조	휴	문열
261	曹	訓		조	훈	
262	宋	憲		송	헌	
263	曹	昂	子脩	조	앙	자수
264	曹	洪	子廉	조	홍	자렴
265	曹	純	子和	조	순	자화
266	曹	彰	子文	조	창	자문
267	曹	植	子建	조	식	자건
268	曹	真	子丹	조	진	자단
269	曹	仁	子孝	조	인	자효
270	曹	性		조	성	
271	曹	操	孟徳	조	조	맹덕
272	曹	爽	昭伯	조	상	소백
273	臧	覇	宣高	장	패	선고
274	曹	丕	子桓	조	비	자환
275	曹	豹		조	표	
276	曹	芳	蘭卿	조	방	난경
277	曹	髦	彦士	조	모	언사
278	曹	熊		조	웅	
279	沮	授		저	수	
280	蘇	飛		소	비	
281	祖	茂	大栄	조	무	대영
282	孫	異		손	이	
283	孫	和	子孝	손	화	자효
284	孫	桓	叔武	손	환	숙무
285	孫	休	子烈	손	휴	자열
286	孫	匡	季佐	손	광	계좌
287	孫	〓{F055}		손	흠	
288	孫	堅	文台	손	견	문대
289	孫	乾	公祐	손	건	공우
290	孫	権	仲謀	손	권	중모
291	孫	皓	元宗	손	호	원종
292	孫	策	伯符	손	책	백부
293	孫	秀		손	수	
294	孫	峻	子遠	손	준	자원
295	孫	韶	公礼	손	소	공례
296	孫	静	幼台	손	정	유대
297	孫	〓{F072}	子通	손	침	자통
298	孫	登	子高	손	등	자고
299	孫	瑜	仲異	손	유	중이
300	孫	翊	叔弼	손	익	숙필
301	孫	亮	子明	손	량	자명
302	孫	礼	徳達	손	례	덕달
303	孫	朗	早安	손	랑	조안
304	太史	享	元復	태사	향	원복
305	太史	慈	子義	태사	자	자의
306	帯来	洞主		대래	동주	
307	卓	膺		탁	응	
308	朶思	大王		타사	대왕	
309	譚	雄		담	웅	
310	張	允		장	윤	
311	趙	雲	子龍	조	운	자룡
312	張	衛		장	위	
313	張	英		장	영	
314	張	燕		장	연	
315	張	横		장	횡	
316	張	温	恵恕	장	온	혜서
317	張	華	茂先	장	화	무선
318	張	〓{F056}		장	개	
319	張	既	徳容	장	기	덕용
320	張	休	叔嗣	장	휴	숙사
321	張	嶷	伯岐	장	억	백기
322	張	勳		장	훈	
323	張	虎		장	호	
324	張	紘	子綱	장	굉	자강
325	張	〓{F043}	儁艾	장	합	준예
326	趙	広		조	광	
327	張	済		장	제	
328	張	繍		장	수	
329	張	昭	子布	장	소	자포
330	張	松	永年	장	송	영년
331	張	紹		장	소	
332	張	任		장	임	
333	張	節		장	절	
334	張	悌	巨先	장	제	거선
335	趙	統		조	통	
336	張	南	文進	장	남	문진
337	張	〓{F04E}	孟卓	장	막	맹탁
338	趙	範		조	범	
339	張	飛	翼徳	장	비	익덕
340	張	布		장	포	
341	張	苞		장	포	
342	張	楊	雅叔	장	양	아숙
343	張	翼	伯恭	장	익	백공
344	張	遼	文遠	장	료	문원
345	趙	累		조	루	
346	張	魯	公祺	장	로	공기
347	陳	横		진	횡	
348	陳	宮	公台	진	궁	공대
349	陳	矯	季弼	진	교	계필
350	陳	羣	長文	진	군	장문
351	陳	珪	漢瑜	진	규	한유
352	陳	騫	休淵	진	건	휴연
353	陳	寿	承祚	진	수	승조
354	陳	式		진	식	
355	陳	震	孝起	진	진	효기
356	陳	泰	玄伯	진	태	현백
357	陳	登	元龍	진	등	원룡
358	陳	到	叔至	진	도	숙지
359	陳	武	子烈	진	무	자열
360	陳	蘭		진	란	
361	陳	琳	孔璋	진	림	공장
362	程	昱	仲徳	정	욱	중덕
363	程	銀		정	은	
364	禰	衡	正平	예	형	정평
365	程	普	徳謀	정	보	덕모
366	程	武		정	무	
367	程	秉	徳枢	정	병	덕추
368	丁	奉	承淵	정	봉	승연
369	徹	里吉		철	리길	
370	典	韋		전	위	
371	田	楷		전	해	
372	田	続		전	속	
373	田	疇	子泰	전	주	자태
374	田	豊	元皓	전	풍	원호
375	滕	胤	承嗣	등	윤	승사
376	董	允	休昭	동	윤	휴소
377	鄧	艾	士載	등	애	사재
378	董	厥	〓{F084}襲	동	궐	공습
379	陶	謙	恭祖	도	겸	공조
380	鄧	賢		등	현	
381	鄧	芝	伯苗	등	지	백묘
382	唐	咨		당	자	
383	董	襲	元代	동	습	원대
384	陶	濬		도	준	
385	董	承		동	승	
386	董	昭	公仁	동	소	공인
387	董	卓	仲穎	동	탁	중영
388	鄧	忠		등	충	
389	董	荼那		동	도나	
390	〓{F097}	頓		답	돈	
391	董	旻	叔穎	동	민	숙영
392	董	和	幼宰	동	화	유재
393	杜	預	元凱	두	예	원개
394	裴	元紹		배	원소	
395	馬	玩		마	완	
396	馬	休		마	휴	
397	馬	鈞	徳衡	마	균	덕형
398	馬	日〓{F06E}	翁叔	마	일제	옹숙
399	馬	遵		마	준	
400	馬	謖	幼常	마	속	유상
401	馬	岱		마	대	
402	馬	忠		마	충	
403	馬	忠	徳信	마	충	덕신
404	馬	超	孟起	마	초	맹기
405	馬	鉄		마	철	
406	馬	騰	寿成	마	등	수성
407	馬	〓{F04E}		마	막	
408	馬	良	季常	마	량	계상
409	万	彧		만	욱	
410	樊	建	長元	번	건	장원
411	潘	濬	承明	반	준	승명
412	潘	璋	文珪	반	장	문규
413	樊	稠		번	주	
414	潘	鳳		반	봉	
415	費	〓{F092}	文偉	비	의	문위
416	卑	衍		비	연	
417	費	詩	公挙	비	시	공거
418	糜	竺	子仲	미	축	자중
419	糜	芳	子方	미	방	자방
420	武	安国		무	안국	
421	馮	習	休元	풍	습	휴원
422	傅	嬰		부	영	
423	伏	完		복	완	
424	傅士	仁	君義	부사	인	군의
425	傅	僉		부	첨	
426	傅	巽	公梯	부	손	공제
427	傅	〓{F067}		부	동	
428	文	鴦		문	앙	
429	文	欽	仲若	문	흠	중약
430	文	醜		문	추	
431	文	聘	仲業	문	빙	중업
432	卞	喜		변	희	
433	忙	牙長		망	아장	
434	逢	紀	元図	봉	기	원도
435	〓{F04C}	羲		방	희	
436	鮑	信		포	신	
437	法	正	孝直	법	정	효직
438	〓{F04C}	統	士元	방	통	사원
439	〓{F04C}	徳	令明	방	덕	영명
440	鮑	隆		포	륭	
441	穆	順		목	순	
442	濮陽	興	子元	복양	흥	자원
443	木鹿	大王		목록	대왕	
444	歩	〓{F04F}	子山	보	즐	자산
445	満	寵	伯寧	만	총	백녕
446	迷当	大王		미당	대왕	
447	毛	〓{F052}	孝先	모	개	효선
448	孟	獲		맹	획	
449	孟	達	子慶	맹	달	자경
450	孟	優		맹	우	
451	楊	懐		양	회	
452	雍	〓{F056}		옹	개	
453	楊	儀	威公	양	의	위공
454	羊	〓{F078}	叔子	양	호	숙자
455	楊	醜		양	추	
456	楊	修	徳祖	양	수	덕조
457	楊	秋		양	추	
458	楊	松		양	송	
459	楊	祚		양	조	
460	楊	柏		양	백	
461	楊	彪	文先	양	표	문선
462	楊	鋒		양	봉	
463	楊	奉		양	봉	
464	雷	銅		뇌	동	
465	雷	薄		뇌	박	
466	駱	統	公緒	낙	통	공서
467	李	異		이	이	
468	李	恢	徳昂	이	회	덕앙
469	李	〓{F046}	稚然	이	각	치연
470	陸	凱	敬風	육	개	경풍
471	陸	抗	幼節	육	항	유절
472	陸	績	公紀	육	적	공기
473	陸	遜	伯言	육	손	백언
474	李	厳	正方	이	엄	정방
475	李	儒		이	유	
476	李	粛	偉恭	이	숙	위공
477	李	典	曼成	이	전	만성
478	李	豊		이	풍	
479	劉	永	公寿	유	영	공수
480	劉	焉	君郎	유	언	군랑
481	劉	琦		유	기	
482	劉	虞	伯安	유	우	백안
483	劉	勳	子台	유	훈	자대
484	劉	賢		유	현	
485	劉	循		유	순	
486	劉	璋	季玉	유	장	계옥
487	劉	諶		유	심	
488	劉	禅	公嗣	유	선	공사
489	劉	琮		유	종	
490	劉	岱	公山	유	대	공산
491	劉	度		유	도	
492	劉	巴	子初	유	파	자초
493	劉	備	玄徳	유	비	현덕
494	劉	表	景升	유	표	경승
495	劉	豹		유	표	
496	劉	辟		유	벽	
497	劉	封		유	봉	
498	劉	曄	子揚	유	엽	자양
499	劉	〓{F04D}	正礼	유	요	정례
500	劉	理	奉孝	유	리	봉효
501	留	略		유	략	
502	呂	威〓{F07A}		여	위황	
503	廖	化	元倹	요	화	원검
504	梁	興		양	흥	
505	凌	操		능	조	
506	凌	統	公績	능	통	공적
507	廖	立	公淵	요	립	공연
508	呂	凱	季平	여	개	계평
509	呂	義		여	의	
510	呂	虔	子恪	여	건	자각
511	呂	曠		여	광	
512	呂	翔		여	상	
513	呂	岱	定公	여	대	정공
514	呂	範	子衡	여	범	자형
515	呂	布	奉先	여	포	봉선
516	呂	蒙	子明	여	몽	자명
517	倫	直		윤	직	
518	魯	粛	子敬	노	숙	자경
519	盧	植	子幹	노	식	자간
520	兪	渉		유	섭	
521	方	悦		방	열	
522	冷	苞		냉	포	
523	呂	拠		여	거	
524	劉	〓{F065}		유	괴	
525	楊	任		양	임	
526	楊	昂		양	앙	
527	曹	遵		조	준	
528	朱	讃		주	찬	
529	張	角		장	각	
530	張	梁		장	량	
531	張	宝		장	보	
532	程	遠志		정	원지	
533	鄧	茂		등	무	
534	趙	弘		조	홍	
535	韓	忠		한	충	
536	厳	政		엄	정	
537	高	昇		고	승	
538	孫	仲		손	중	
539	張	挙		장	거	
540	何	進	遂高	하	진	수고
541	丁	原	建陽	정	원	건양
542	区	星		구	성	
543	戴	陵		대	릉	
544	張	純		장	순	
545	辺	章		변	장	
546	北宮	玉		북궁	옥	
547	孫	尚香		손	상향	
548	王	忠		왕	충	
549	費	耀		비	요	
550	宋	揚		송	양	
551	周	朝		주	조	
552	郭	石		곽	석	
553	張	球		장	구	
554	田	与		전	여	
555	劉	劭		유	소	
556	張	承		장	승	
557	留	賛		유	찬	
558	全	懌		전	역	
559	張	温		장	온	
560	霊	帝		영	제	
561	少	帝		소	제	
562	献	帝		헌	제	
563	貂	蝉		초	선	
564	大	喬		대	교	
565	小	喬		소	교	
566	蔡	〓{F080}	文姫	채	염	문희
567	雲	玲		운	령	
568	林	芝		임	지	
569	蒋	容		장	용	
570	翠	闌		취	란	
571	胡	姫		호	희	
572	喬	国老		교	국로	
573	呉	国太		오	국태	
574	小	玉		소	옥	
575	老	母		노	모	
576	何	太后		하	태후	
577	皇	后		황	후	
578	蔡	陽		채	양	
579	密	使		밀	사	
580	文	官		문	관	
581	勅	使		칙	사	
582	町	民		주	민	
583	北	斗		북	두	
584	南	斗		남	두	
585	文	官		문	관	
586	倭	人		왜	인	
587	単	福		선	복	
588	県	令		현	령	
589	関	定		관	정	
590	劉	泌		유	필	
591	闇	商人		암	상인	
592	異	民族		이	민족	
593	徐	堅		서	견	
594	趙	儀		조	의	
595	武	官		무	관	
596	老	人		노	인	
597	書	生		서	생	
598	文	虎		문	호	
599	宋	謙		송	겸	
600	賈	華		가	화	
601	陳	応		진	응	
602	衛	〓{F07D}	伯玉	위	관	백옥
603	王	含		왕	함	
604	王	粛	子雍	왕	숙	자옹
605	牽	弘		견	홍	
606	伍	延		오	연	
607	胡	済	偉度	호	제	위도
608	胡	沖		호	충	
609	師	纂		사	찬	
610	司馬	〓{F05C}	子将	사마	주	자장
611	諸葛	緒		제갈	서	
612	蒋	斌		장	빈	
613	孫	冀		손	기	
614	張	象		장	상	
615	丁	封		정	봉	
616	党	均		당	균	
617	裴	秀	季彦	배	수	계언
618	楊	欣		양	흔	
619	陸	景	士仁	육	경	사인
620	留	平		유	평	
621	楼	玄	承先	누	현	승선
622	王	惇		왕	돈	
623	何	植		하	식	
624	王	〓{F0A4}	彦雲	왕	릉	언운
625	魏	〓{F04E}		위	막	
626	丘	建		구	건	
627	句	安		구	안	
628	胡	淵	世元	호	연	세원
629	胡	烈	玄武	호	렬	현무
630	施	朔		시	삭	
631	荀	〓{F053}	景倩	순	의	경천
632	荀	勗		순	욱	
633	邵	悌	元伯	소	제	원백
634	張	緝	敬仲	장	집	경중
635	張	遵		장	준	
636	張	特	子産	장	특	자산
637	滕	脩		등	수	
638	唐	彬	儒宗	당	빈	유종
639	李	〓{F055}		이	흠	
640	韓	徳		한	덕	
641	崔	諒		최	량	
642	荀	愷		순	개	
643	岑	威		잠	위	
644	秦	朗	元明	진	랑	원명
645	薛	則		설	칙	
646	董	禧		동	희	
647	楊	陵		양	릉	
648	李	勝	公昭	이	승	공소
649	梁	緒		양	서	
650	関	靖	士起	관	정	사기
651	成	済		성	제	
652	全	紀		전	기	
653	全	尚		전	상	
654	鮑	忠		포	충	
655	楊	阜	義山	양	부	의산
656	李	豊	安国	이	풍	안국
657	劉	丞		유	승	
