idx	code	slot	cond	jp	ko
9	0563	1	{0035}{0026:106}	あなた	당신
9	0563	2	{0036}	あなた	당신
9	0563	3	{0036}{0036}{0026:501}{0026:528}	そなた	그대
9	0563	4	{0036}{0026:510}	そなた	그대
9	0563	5	{0035}{0026:106}	あなた	당신
9	0563	6	{0036}	あなた	당신
9	0563	7	{0036}{0036}{0026:513}{0026:510}	そなた	그대
9	0563	8	{0035}{0026:106}	あなた	당신
9	0563	9	{0036}	あなた	당신
9	0563	10	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	형님
9	0563	11	{0034:2080}	兄貴	형님
9	0563	12	{0036}{0034:1080}{0026:2493}	あなた	당신
9	0563	13	{0036}{0036}{0036}{0026:526}{0026:106}{0026:6}{0026:22}{0026:12}	あなた	당신
9	0563	14	{0036}{0036}{0034:9}	あなた	당신
9	0563	15	{0036}	あなた	당신
9	0563	16	{0035}{0026:22}{0026:12}	あなた	당신
9	0563	17	{0036}{0035}{0026:9}	あなた	당신
9	0563	18	{0036}{0036}	あなた	당신
9	0563	19	{0036}{0036}{0026:527}	お前	자네
9	0563	20	{0034:1204}{0026:2448}	あなた	당신
9	0563	21	{0036}{0034:1448}{0026:2204}	お前	자네
9	0563	22	{0036}{0036}{0026:512}{0026:131}{0026:107}	貴女	그대
9	0563	23	{0036}	貴方	그대
9	0563	24	{0034:31}	そなた	그대
9	0563	25	{0034:130}{0026:107}	貴女	그대
9	0563	26	{0036}	貴方	그대
9	0563	27	{0034:30}{0026:7}	貴方	그대
9	0563	28	{0036}	そなた	그대
9	0563	29	{0034:107}	貴女	그대
9	0563	30	{0034:514}	貴殿	귀공
9	0563	31	{0036}{0036}{0026:7}{0026:510}	あなた	당신
9	0563	32	{0034:106}	貴方	그대
9	0563	33	{0036}	貴女	그대
9	0563	34	{0036}{0026:510}{0026:513}	そなた	그대
9	0563	35	{0034:107}	貴女	그대
9	0563	36	{0036}	貴公	귀공
9	0563	37	{0036}	貴殿	귀공
10	0564	0	{0026:7}	お前	네놈
10	0564	1	{0034:11}	お前	네놈
10	0564	2	{0036}	貴様	네놈
11	0565	0	{0026:500}{0026:510}{00CF}	N	N
11	0565	1	{0034:106}	父上	아버님
11	0565	2	{0036}	母上	어머님
11	0565	3	{0036}{0026:501}{0026:510}{00CF}	N	N
11	0565	4	{0034:106}	兄上	형님
11	0565	5	{0036}	姉上	누님
11	0565	6	{0036}{0026:513}{0026:510}{00CF}	N	N
11	0565	7	{0035}{00CF}	N	N
11	0565	8		殿	 님
11	0565	9	{0036}{0036}{0026:10604}{0026:1339}{0026:2493}	兄者	형님
11	0565	10	{0034:2080}	兄貴	형님
11	0565	11	{0036}{0034:1080}{0026:2493}	兄者	형님
11	0565	12	{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}	兄者	형님
11	0565	13	{0034:1080}	兄者	형님
11	0565	14	{0035}	義兄上	매형
11	0565	15	{0036}{0035}{0026:1339}	姉者	누님
11	0565	16	{0034:1080}	姉者	누님
11	0565	17	{0035}	義姉上	형수님
11	0565	18	{0036}{0036}{0036}{0026:527}{00CF}	N	N
11	0565	19	{0036}{00CF}	N	N
11	0565	20		様	 님
12	0566	0	{0026:500}{0026:510}{00CF}	N	N
12	0566	1	{0034:106}	父上	아버님
12	0566	2	{0036}	母上	어머님
12	0566	3	{0036}{0026:501}{0026:510}{00CF}	N	N
12	0566	4	{0034:106}	兄上	형님
12	0566	5	{0036}	姉上	누님
12	0566	6	{0036}{00CF}	N	N
13	0567	0	{0026:10604}{0026:1339}{0026:3493}	兄者	형님
13	0567	1	{0034:3080}	兄貴	형님
13	0567	2	{0036}{0034:1080}{0026:3493}	兄者	형님
13	0567	3	{0034:3339}{0554:1}	張飛	장비
13	0567	4	{0554:0}{0036}{0034:1493}{0026:3080}{0554:1}	関羽	관우
13	0567	5	{0554:0}{0034:3339}{0554:1}	張飛	장비
13	0567	6	{0554:0}{0034:3233}{0554:1}	孔明	공명
13	0567	7	{0554:0}{0036}{0034:1493}{0026:3233}{0554:1}	孔明	공명
13	0567	8	{0554:0}{0036}{0034:1204}{0026:3448}	我が夫	서방님
13	0567	9	{0036}{0034:1448}{0026:3204}{0554:1}	祝融	축융
13	0567	10	{0554:0}{0036}{0034:3204}{0554:1}	祝融	축융
13	0567	11	{0554:0}	夫人	부인
13	0567	12	{0036}{0036}{0026:600}{0026:610}{00D0}	N	N
13	0567	13	{0034:206}	父上	아버님
13	0567	14	{0036}	母上	어머님
13	0567	15	{0036}{0026:601}{0026:610}{00D0}	N	N
13	0567	16	{0034:206}	兄上	형님
13	0567	17	{0036}	姉上	누님
13	0567	18	{0036}{0026:613}{0026:610}{00D0}	N	N
13	0567	19	{0035}{00D0}	N	N
13	0567	20		殿	 님
13	0567	21	{0036}{0036}{0026:626}{0026:206}{0026:1339}	兄者	형님
13	0567	22	{0034:1080}	兄者	형님
13	0567	23	{0035}	義兄上	매형
13	0567	24	{0036}{0035}{0026:1339}	姉者	누님
13	0567	25	{0034:1080}	姉者	누님
13	0567	26	{0035}	義姉上	형수님
13	0567	27	{0036}{0036}{0036}{0026:627}{00D0}	N	N
13	0567	28	{0036}{0026:612}{0026:231}	陛下	폐하
13	0567	29	{0034:230}{0026:10604}{0026:3346}	張師君	장 사군
13	0567	30	{0034:3529}	大賢良師様	대현량사님
13	0567	31	{0034:3531}	地公将軍様	지공장군님
13	0567	32	{0034:3530}	人公将軍様	인공장군님
13	0567	33	{0034:3448}	大王様	대왕님
13	0567	34	{0035}{00D0}	N	N
13	0567	35		様	 님
13	0567	36	{0036}{0035}{00D0}	N	N
13	0567	37		様	 님
13	0567	38	{0036}{0034:30}{00D0}	N	N
13	0567	39	{0034:614}{00D0}	N	N
13	0567	40		殿	 님
13	0567	41	{0036}{0034:230}{00D0}	N	N
13	0567	42		殿	 님
13	0567	43	{0036}{0026:613}{0026:610}{00D0}	N	N
13	0567	44	{0036}{0036}{00D0}	N	N
13	0567	45		殿	 님
14	0568	0	{0026:207}	彼女	그녀
14	0568	1	{0035}	彼	그
17	056B	0	{0026:600}{0026:610}{00D0}	N	N
17	056B	1	{0034:206}	父上	아버님
17	056B	2	{0036}	母上	어머님
17	056B	3	{0036}{00D0}	N	N
18	056C	0	{0026:600}{0026:610}	我が子・	내 아들 
18	056C	1	{00D0}	N	N
18	056C	2	{0034:206}	我が父・	내 아버지 
18	056C	3	{00D0}	N	N
18	056C	4	{0036}	我が母・	내 어머니 
18	056C	5	{00D0}	N	N
18	056C	6	{0036}{0026:601}{0026:610}{0026:206}	我が弟・	내 아우 
18	056C	7	{00D0}	N	N
18	056C	8	{0036}	我が妹・	내 누이 
18	056C	9	{00D0}	N	N
18	056C	10	{0034:206}	我が兄・	내 형 
18	056C	11	{00D0}	N	N
18	056C	12	{0036}	我が姉・	내 누나 
18	056C	13	{00D0}	N	N
18	056C	14	{0036}{0026:613}	一族の	일족인 
18	056C	15	{00D0}	N	N
18	056C	16	{0036}{0026:626}{0026:206}	我が義兄・	내 매형 
18	056C	17	{00D0}	N	N
18	056C	18	{0035}	我が義姉・	내 형수 
18	056C	19	{00D0}	N	N
18	056C	20	{0036}{0036}{0026:627}{0026:206}	我が義弟・	내 처남 
18	056C	21	{00D0}	N	N
18	056C	22	{0035}	我が義妹・	내 처제 
18	056C	23	{00D0}	N	N
18	056C	24	{0036}{0036}{0026:612}{0026:230}	我が主・	우리 주공 
18	056C	25	{00D0}	N	N
18	056C	26	{0036}{0036}{00D0}	N	N
18	056C	27		殿	 님
20	056E	0	{0026:613}{0026:610}{00D0}	N	N
20	056E	1	{0035}{00D0}	N	N
20	056E	2		殿	 님
20	056E	3	{0036}{0036}{0026:626}{00D0}	N	N
20	056E	4		殿	 님
20	056E	5	{0036}{0026:627}{00D0}	N	N
20	056E	6	{0036}{00D0}	N	N
20	056E	7		殿	 님
22	0570	0	{0026:230}{0026:612}{0035}{0027:30}{0026:3015}	猿	원숭이
22	0570	1	{0034:3493}	えせ君子	사이비 군자
22	0570	2	{0034:3271}	姦雄	간웅
22	0570	3	{0026:207}{0026:213}	女狐	여우
22	0570	4	{0034:214}	毒婦	독부
22	0570	5	{0036}{0036}{0036}{0036}{0036}{0026:616}	老いぼれ	늙은이
22	0570	6	{0036}{0026:207}{0026:616}	小娘	계집애
22	0570	7	{0036}{0035}{0026:616}{0027:30}	小僧	애송이
22	0570	8	{0036}	青二才	풋내기
22	0570	9	{0036}{0036}{0026:222}	匹夫	필부
22	0570	10	{0034:224}	臆病者	겁쟁이
22	0570	11	{0036}{0026:219}{0027:30}	猪武者	멧돼지
22	0570	12	{0036}{0034:213}{0027:30}	ほら吹き	허풍쟁이
22	0570	13	{0036}{0034:220}	愚か者	어리석은 자
22	0570	14	{0034:221}	愚か者	어리석은 자
22	0570	15	{0036}{0026:230}{0026:612}{0027:50}	逆賊	역적
22	0570	16	{0036}{0036}{0036}{0026:207}	女	계집
22	0570	17	{0036}	下郎	하찮은 놈
23	0571	0	{0026:7}{0026:512}{0026:130}	ございます	있습니다
23	0571	1	{0036}{0036}	あります	있습니다
23	0571	2	{0036}{0026:500}{0026:510}	ある	있다
23	0571	3	{0036}	あります	있습니다
23	0571	4	{0036}{0026:1339}	ある	있다
23	0571	5	{0036}{0026:513}{0026:510}	ある	있다
23	0571	6	{0035}	あります	있습니다
23	0571	7	{0036}{0036}{0026:530}{0026:510}	ある	있다
23	0571	8	{0035}	あります	있습니다
23	0571	9	{0036}{0036}{0026:512}{0026:30}	ある	있다
23	0571	10	{0036}{0026:130}	ございます	있습니다
23	0571	11	{0036}{0026:514}	あります	있습니다
23	0571	12	{0036}{0036}	ある	있다
24	0572	0	{0026:6}{0026:11}	お相手いたそう	상대해 주마
24	0572	1	{0036}{0035}{0026:23}	お相手しよう	상대해 주지
24	0572	2	{0036}	お相手しましょう	상대해 드리지요
24	0572	3	{0036}	相手になろう	상대가 되어 주마
25	0573	0	{0026:7}{0026:512}{0026:130}	ございまし	있었
25	0573	1	{0036}{0036}	ありまし	있었
25	0573	2	{0036}{0026:500}{0026:510}	あっ	있었
25	0573	3	{0036}	ありまし	있었
25	0573	4	{0036}{0026:1339}	あっ	있었
25	0573	5	{0036}{0026:513}{0026:510}	あっ	있었
25	0573	6	{0035}	ありまし	있었
25	0573	7	{0036}{0036}{0026:530}{0026:510}	あっ	있었
25	0573	8	{0035}	ありまし	있었
25	0573	9	{0036}{0036}{0026:512}{0026:30}	あっ	있었
25	0573	10	{0036}{0026:130}	ございまし	있었
25	0573	11	{0036}{0026:514}	ありまし	있었
25	0573	12	{0036}{0036}	あっ	있었
26	0574	0	{0026:7}	んで	고
26	0574	1	{0036}	べ	고
27	0575	0	{0026:7}	びましょう	습니다
27	0575	1	{0036}	ぼう	다
28	0576	0	{0026:7}	です	입니다
28	0576	1	{0036}{0026:500}{0026:510}	だ	다
28	0576	2	{0036}	です	입니다
28	0576	3	{0036}{0026:1339}	だ	다
28	0576	4	{0036}{0026:513}{0026:510}	だ	다
28	0576	5	{0035}	です	입니다
28	0576	6	{0036}{0036}{0026:530}{0026:510}	だ	다
28	0576	7	{0035}	です	입니다
28	0576	8	{0036}{0036}{0026:512}{0026:30}	だ	다
28	0576	9	{0036}{0026:130}	です	입니다
28	0576	10	{0036}{0026:514}	です	입니다
28	0576	11	{0036}{0036}	だ	다
29	0577	0	{0026:7}	です	입니다
29	0577	1	{0036}{0026:500}{0026:510}{001E}{0036}	です	입니다
29	0577	2	{0036}{0026:513}{0026:510}{001E}{0035}	です	입니다
29	0577	3	{0036}{0036}{0026:530}{0026:510}{001E}{0035}	です	입니다
29	0577	4	{0036}{0036}{0026:512}{0026:30}{001E}{0036}{0026:130}	です	입니다
29	0577	5	{0036}{0026:514}	です	입니다
30	0578	0	{0026:7}{0026:30}	でございます	이옵니다
30	0578	1	{0036}	です	입니다
30	0578	2	{0036}{0026:1339}	だ	다
30	0578	3	{0036}{0026:513}{0026:510}	だ	다
30	0578	4	{0035}	でございます	이옵니다
30	0578	5	{0036}{0036}{0026:530}{0026:510}	だ	다
30	0578	6	{0035}	でございます	이옵니다
30	0578	7	{0036}{0036}{0026:512}{0026:30}	だ	다
30	0578	8	{0036}{0026:130}	でございます	이옵니다
30	0578	9	{0036}{0036}	です	입니다
31	0579	0	{0026:6}	だ	다
31	0579	1	{0036}	よ	지
32	057A	0	{0026:7}{0026:513}{0026:510}	ね	군요
32	057A	1	{0035}	ですね	이군요
32	057A	2	{0036}{0036}{0026:530}{0026:510}	ね	군요
32	057A	3	{0035}	ですね	이군요
32	057A	4	{0036}{0036}{0026:512}{0026:514}	ですね	이군요
32	057A	5	{0035}	ね	군요
32	057A	6	{0036}{0036}{0026:130}	ですね	이군요
32	057A	7	{0036}	ね	군요
32	057A	8	{0036}{0026:500}{0026:510}	だな	이군
32	057A	9	{0036}	ですな	이구려
32	057A	10	{0036}{0026:1339}	だな	이군
32	057A	11	{0036}{0026:513}{0026:510}	だな	이군
32	057A	12	{0035}	ですな	이구려
32	057A	13	{0036}{0036}{0026:530}{0026:510}	だな	이군
32	057A	14	{0035}	ですな	이구려
32	057A	15	{0036}{0036}{0026:512}{0026:30}	だな	이군
32	057A	16	{0036}{0026:130}	ですな	이구려
32	057A	17	{0036}{0026:514}	ですな	이구려
32	057A	18	{0036}{0036}	だな	이군
33	057B	0	{0026:7}	でしょう	이겠지요
33	057B	1	{0036}{0026:500}{0026:510}	だろう	이겠지
33	057B	2	{0036}	でしょう	이겠지요
33	057B	3	{0036}{0026:1339}	だろう	이겠지
33	057B	4	{0036}{0026:513}{0026:510}	だろう	이겠지
33	057B	5	{0035}	でしょう	이겠지요
33	057B	6	{0036}{0036}{0026:530}{0026:510}	だろう	이겠지
33	057B	7	{0035}	でしょう	이겠지요
33	057B	8	{0036}{0036}{0026:512}{0026:30}	だろう	이겠지
33	057B	9	{0036}{0026:130}	でしょう	이겠지요
33	057B	10	{0036}{0026:514}	でしょう	이겠지요
33	057B	11	{0036}{0036}	だろう	이겠지
34	057C	0	{0026:7}	でした	이었습니다
34	057C	1	{0036}{0026:500}{0026:510}	だった	이었다
34	057C	2	{0036}	でした	이었습니다
34	057C	3	{0036}{0026:1339}	だった	이었다
34	057C	4	{0036}{0026:513}{0026:510}	だった	이었다
34	057C	5	{0035}	でした	이었습니다
34	057C	6	{0036}{0036}{0026:530}{0026:510}	だった	이었다
34	057C	7	{0035}	でした	이었습니다
34	057C	8	{0036}{0036}{0026:512}{0026:30}	だった	이었다
34	057C	9	{0036}{0026:130}	でした	이었습니다
34	057C	10	{0036}{0026:514}	でした	이었습니다
34	057C	11	{0036}{0036}	だった	이었다
35	057D	0	{0026:7}	ですって	이라니요
35	057D	1	{0036}{0026:500}{0026:510}	だと	이라니
35	057D	2	{0036}	ですと	이라니
35	057D	3	{0036}{0026:1339}	だと	이라니
35	057D	4	{0036}{0026:513}{0026:510}	だと	이라니
35	057D	5	{0035}	ですと	이라니
35	057D	6	{0036}{0036}{0026:530}{0026:510}	だと	이라니
35	057D	7	{0035}	ですと	이라니
35	057D	8	{0036}{0036}{0026:512}{0026:30}	だと	이라니
35	057D	9	{0036}{0026:130}	ですと	이라니
35	057D	10	{0036}{0026:514}	ですと	이라니
35	057D	11	{0036}{0036}{0026:6}	だと	이라니
36	057E	0	{0026:7}	だわ	이야
37	057F	0	{0026:7}	でして	이고
37	057F	1	{0036}{0026:500}{0026:510}	で	이고
37	057F	2	{0036}	でして	이고
37	057F	3	{0036}{0026:1339}	で	이고
37	057F	4	{0036}{0026:513}{0026:510}	で	이고
37	057F	5	{0035}	でして	이고
37	057F	6	{0036}{0036}{0026:530}{0026:510}	で	이고
37	057F	7	{0035}	でして	이고
37	057F	8	{0036}{0036}{0026:512}{0026:30}	で	이고
37	057F	9	{0036}{0026:130}	でして	이고
37	057F	10	{0036}{0026:514}	でして	이고
37	057F	11	{0036}{0036}	で	이고
38	0580	0	{0026:7}	でしてね	이고요
38	0580	1	{0036}{0026:500}{0026:510}	でな	이고
38	0580	2	{0036}	でしてな	이외다
38	0580	3	{0036}{0026:1339}	でな	이고
38	0580	4	{0036}{0026:513}{0026:510}	でな	이고
38	0580	5	{0035}	でしてな	이외다
38	0580	6	{0036}{0036}{0026:530}{0026:510}	でな	이고
38	0580	7	{0035}	でしてな	이외다
38	0580	8	{0036}{0036}{0026:512}{0026:30}	でな	이고
38	0580	9	{0036}{0026:130}	でしてな	이외다
38	0580	10	{0036}{0026:514}	でしてな	이외다
38	0580	11	{0036}{0036}	でな	이고
39	0581	0	{0026:7}{0026:512}{0026:30}	かしら	일까요
39	0581	1	{0036}{0036}{0026:513}{0026:510}	かしら	일까요
39	0581	2	{0035}	ですか	입니까
39	0581	3	{0036}{0036}{0026:530}{0026:510}	かしら	일까요
39	0581	4	{0035}	ですか	입니까
39	0581	5	{0036}{0036}	ですか	입니까
39	0581	6	{0036}{0026:500}{0026:510}	だろうか	일까
39	0581	7	{0036}	ですか	입니까
39	0581	8	{0036}{0026:1339}	か	는가
39	0581	9	{0036}{0026:513}{0026:510}	か	는가
39	0581	10	{0035}	ですか	입니까
39	0581	11	{0036}{0036}{0026:530}{0026:510}	か	는가
39	0581	12	{0035}	ですか	입니까
39	0581	13	{0036}{0036}{0026:512}{0026:30}{0026:17}	か	는가
39	0581	14	{0036}	かな	일까
39	0581	15	{0036}{0026:130}	ですか	입니까
39	0581	16	{0036}{0026:514}	ですか	입니까
39	0581	17	{0036}{0036}{0026:6}	だろうか	일까
40	0582	0	{0026:6}	けい	라
40	0582	1	{0036}	きなさい	하세요
41	0583	0	{0026:7}{0026:23}	どうですか	어떻습니까
41	0583	1	{0036}	いかがですか	어떠하신지요
41	0583	2	{0036}{0026:500}{0026:510}	どうだ	어떤가
41	0583	3	{0036}	どうですか	어떻습니까
41	0583	4	{0036}{0026:1339}	どうだ	어떤가
41	0583	5	{0036}{0026:513}{0026:510}	どうだ	어떤가
41	0583	6	{0035}	どうですか	어떻습니까
41	0583	7	{0036}{0036}{0026:530}{0026:510}	どうだ	어떤가
41	0583	8	{0035}	どうですか	어떻습니까
41	0583	9	{0036}{0036}{0026:512}{0026:30}	どうだ	어떤가
41	0583	10	{0036}{0026:130}	いかがですか	어떠하신지요
41	0583	11	{0036}{0026:514}	いかがですか	어떠하신지요
41	0583	12	{0036}{0036}{0011:9399}{003B}{0026:18}	いかがか	어떠한가
41	0583	13	{0036}{0026:11}	いかがか	어떠한가
41	0583	14	{0036}	どうだ	어떤가
42	0584	0	{0026:7}	いなさい	하세요
42	0584	1	{0036}	え	라
43	0585	0	{0026:7}	けれど	습니다만
43	0585	1	{0036}	が	다만
44	0586	0	{0026:7}	ございます	있습니다
44	0586	1	{0036}	ござる	있소
45	0587	0	{0026:7}	ぎます	습니다
45	0587	1	{0036}{0026:500}{0026:510}	ぐ	다
45	0587	2	{0036}	ぎます	습니다
45	0587	3	{0036}{0026:1339}	ぐ	다
45	0587	4	{0036}{0026:513}{0026:510}	ぐ	다
45	0587	5	{0035}	ぎます	습니다
45	0587	6	{0036}{0036}{0026:530}{0026:510}	ぐ	다
45	0587	7	{0035}	ぎます	습니다
45	0587	8	{0036}{0036}{0026:512}{0026:30}	ぐ	다
45	0587	9	{0036}{0026:130}	ぎます	습니다
45	0587	10	{0036}{0026:514}	ぎます	습니다
45	0587	11	{0036}{0036}	ぐ	다
46	0588	0	{0026:7}	はい	예
46	0588	1	{0036}	ははっ	예이
47	0589	0	{0026:7}	うふふ	후후
47	0589	1	{0036}	ほう	호오
48	058A	0	{0026:7}{0027:50}	ぎゃっ	으악
48	058A	1	{0036}	うっ	윽
48	058A	2	{0036}{0027:50}	うぐっ	우윽
48	058A	3	{0036}	ぐわっ	그워억
49	058B	0	{0026:7}	言って	말하고
49	058B	1	{0036}	言いおって	지껄이고
