offset	cap	kind	jp	ko
2409	7	yomi	ｺｳﾘｮｳ	<빈칸>
2420	5	text	寿春	수춘
2425	7	yomi	ｼﾞｭｼｭﾝ	<빈칸>
2438	3	text	江	강
2441	7	yomi	ﾛｺｳ	<빈칸>
2457	7	yomi	ﾏﾂﾘｮｳ	<빈칸>
2472	8	yomi	 ｺﾞ	<빈칸>
2489	7	yomi	ｶｲｹｲ	<빈칸>
2505	7	yomi	ﾊﾖｳ	<빈칸>
2521	7	yomi	ｻｲｿｳ	<빈칸>
2537	7	yomi	ｴﾝ	<빈칸>
2553	7	yomi	ｼﾝﾔ	<빈칸>
2569	7	yomi	ｼﾞｮｳﾖｳ	<빈칸>
2580	5	text	上庸	상용
2585	7	yomi	ｼﾞｮｳﾖｳ	<빈칸>
2598	3	text	夏	하
2601	7	yomi	ｺｳｶ	<빈칸>
2617	7	yomi	ｺｳﾘｮｳ	<빈칸>
2633	7	yomi	ﾁｮｳｻ	<빈칸>
2649	7	yomi	ﾌﾞﾘｮｳ	<빈칸>
2665	7	yomi	ｹｲﾖｳ	<빈칸>
2681	7	yomi	ﾚｲﾘｮｳ	<빈칸>
2697	7	yomi	ｶﾝﾁｭｳ	<빈칸>
2713	7	yomi	ﾌﾞﾄ	<빈칸>
2729	7	yomi	ｴｲｱﾝ	<빈칸>
2756	5	text	巴	파
2772	5	text	成都	성도
2788	5	text	建寧	건녕
2804	5	text	永昌	영창
2820	5	text	三江	삼강
2836	16	text	なし	없음
3454	11	text	皇帝	황제
3466	11	text	魏王	위왕
3478	11	text	呉王	오왕
3490	11	text	蜀王	촉왕
3502	11	text	燕王	연왕
3514	11	text	趙王	조왕
3526	11	text	斉王	제왕
3538	11	text	宋王	송왕
3550	11	text	楚王	초왕
3562	11	text	韓王	한왕
3574	11	text	秦王	진왕
3586	11	text	越王	월왕
3598	11	text	涼王	양왕
3610	11	text	南蛮王	남만왕
3622	11	text	漢中王	한중왕
3634	11	text	魏公	위공
3646	11	text	呉公	오공
3658	11	text	蜀公	촉공
3670	11	text	燕公	연공
3682	11	text	趙公	조공
3694	11	text	斉公	제공
3706	11	text	宋公	송공
3718	11	text	楚公	초공
3730	11	text	韓公	한공
3742	11	text	秦公	진공
3754	11	text	越公	월공
3766	11	text	涼公	양공
3778	11	text	南蛮公	남만공
3790	11	text	丞相	승상
3802	11	text	大将軍	대장군
3814	11	text	州牧	주목
3826	12	text	なし	없음
3838	12	text	赤兎馬	적토마
3859	14	text	的盧	적로
3880	14	text	爪黄飛電	조황비전
3901	14	text	絶影	절영
3922	14	text	大宛馬	대완마
3943	14	text	大宛馬	대완마
3964	14	text	大宛馬	대완마
3985	14	text	大宛馬	대완마
4006	14	text	大宛馬	대완마
4027	13	text	七星宝刀	칠성보도
4048	13	text	倚天の剣	의천검
4069	13	text	青釭の剣	청강검
4090	13	text	方天画戟	방천화극
4111	13	text	方天画戟	방천화극
4132	13	text	方天画戟	방천화극
4153	13	text	方天画戟	방천화극
4174	13	text	青龍偃月刀	청룡언월도
4195	13	text	蛇矛	사모
4216	13	text	鉄脊蛇矛	철척사모
4237	13	text	雌雄一対の剣	자웅일대검
4258	13	text	古錠刀	고정도
4279	13	text	三尖刀	삼첨도
4300	13	text	双鉄戟	쌍철극
4321	13	text	大斧	대부
4342	13	text	大斧	대부
4363	13	text	大斧	대부
4384	13	text	大斧	대부
4405	13	text	鉄鞭	철편
4426	13	text	鉄鞭	철편
4447	13	text	鉄鞭	철편
4468	13	text	鉄鞭	철편
4489	13	text	鉄藜骨朶	철려골타
4510	13	text	流星鎚	유성추
4531	13	text	流星鎚	유성추
4552	13	text	流星鎚	유성추
4573	13	text	流星鎚	유성추
4594	13	text	短戟	단극
4615	13	text	短戟	단극
4636	13	text	短戟	단극
4657	13	text	短戟	단극
4678	13	text	飛刀	비도
4699	13	text	飛刀	비도
4720	13	text	飛刀	비도
4741	13	text	飛刀	비도
4762	13	text	手戟	수극
4783	13	text	手戟	수극
4804	13	text	手戟	수극
4825	13	text	手戟	수극
4846	13	text	手戟	수극
4867	13	text	眉尖刀	미첨도
4888	13	text	眉尖刀	미첨도
4909	13	text	眉尖刀	미첨도
4930	13	text	眉尖刀	미첨도
4951	13	text	眉尖刀	미첨도
4972	13	text	銅鎚	동추
4993	13	text	銅鎚	동추
5014	13	text	銅鎚	동추
5035	13	text	銅鎚	동추
5056	13	text	銅鎚	동추
5077	13	text	鉄鎖	철쇄
5098	13	text	鉄鎖	철쇄
5119	13	text	鉄鎖	철쇄
5140	13	text	鉄鎖	철쇄
5161	13	text	鉄鎖	철쇄
5182	13	text	袖箭	수전
5203	13	text	西蜀地形図	서촉지형도
5224	13	text	平蛮指掌図	평만지장도
5245	13	text	太平清領道	태평청령도
5266	13	text	青嚢書	청낭서
5287	13	text	傷寒雑病論	상한잡병론
5308	13	text	遁甲天書	둔갑천서
5329	13	text	太平要術の書	태평요술서
5350	13	text	孫子の兵法書	손자병법서
5371	13	text	孫子の兵法書	손자병법서
5392	13	text	孫子の兵法書	손자병법서
5413	13	text	孫子の兵法書	손자병법서
5434	13	text	孫子の兵法書	손자병법서
5455	13	text	兵法二十四編	병법이십사편
5476	13	text	六韜	육도
5497	13	text	六韜	육도
5518	13	text	六韜	육도
5539	13	text	六韜	육도
5560	13	text	六韜	육도
5581	13	text	孟徳新書	맹덕신서
5602	13	text	墨子	묵자
5623	13	text	墨子	묵자
5644	13	text	墨子	묵자
5665	13	text	墨子	묵자
5686	13	text	墨子	묵자
5707	13	text	論語	논어
5728	13	text	論語	논어
5749	13	text	論語	논어
5770	13	text	論語	논어
5791	13	text	老子	노자
5812	13	text	老子	노자
5833	13	text	老子	노자
5854	13	text	老子	노자
5875	13	text	荘子	장자
5896	13	text	荘子	장자
5917	13	text	荘子	장자
5938	13	text	荘子	장자
5959	13	text	詩経	시경
5980	13	text	詩経	시경
6001	13	text	詩経	시경
6022	13	text	詩経	시경
6043	13	text	書経	서경
6064	13	text	書経	서경
6085	13	text	書経	서경
6106	13	text	書経	서경
6127	13	text	礼記	예기
6148	13	text	礼記	예기
6169	13	text	礼記	예기
6190	13	text	礼記	예기
6211	13	text	易経	역경
6232	13	text	易経	역경
6253	13	text	易経	역경
6274	13	text	易経	역경
6295	13	text	春秋左氏伝	춘추좌씨전
6316	13	text	春秋左氏伝	춘추좌씨전
6337	13	text	春秋左氏伝	춘추좌씨전
6358	13	text	春秋左氏伝	춘추좌씨전
6379	13	text	春秋左氏伝	춘추좌씨전
6400	13	text	史記	사기
6421	13	text	史記	사기
6442	13	text	史記	사기
6463	13	text	史記	사기
6484	13	text	史記	사기
6505	13	text	漢書	한서
6526	13	text	漢書	한서
6547	13	text	漢書	한서
6568	13	text	漢書	한서
6589	13	text	漢書	한서
6610	13	text	漢書	한서
6631	13	text	戦国策	전국책
6652	13	text	戦国策	전국책
6673	13	text	戦国策	전국책
6694	13	text	戦国策	전국책
6715	13	text	戦国策	전국책
6736	13	text	戦国策	전국책
6757	13	text	論語集解	논어집해
6778	13	text	典論	전론
6799	13	text	博奕論	박혁론
6820	13	text	時要論	시요론
6841	13	text	治論	치론
6862	13	text	弁道論	변도론
6883	13	text	乾象暦注	건상력주
6904	13	text	孝経伝	효경전
6925	13	text	仇国論	구국론
6946	13	text	玉璽	옥새
6967	13	text	九錫	구석
6988	13	text	銅雀	동작
7009	13	text	羽扇	우선
7030	13	text	長信宮燈	장신궁등
7051	13	text	長信宮燈	장신궁등
7072	13	text	長信宮燈	장신궁등
7093	13	text	長信宮燈	장신궁등
7114	13	text	長信宮燈	장신궁등
7135	13	text	博山炉	박산로
7156	13	text	博山炉	박산로
7177	13	text	博山炉	박산로
7198	13	text	博山炉	박산로
7219	13	text	博山炉	박산로
7240	13	text	龍の方壷	용무늬 방호
7261	13	text	龍の方壷	용무늬 방호
7282	13	text	龍の方壷	용무늬 방호
7303	13	text	龍の方壷	용무늬 방호
7324	13	text	龍の方壷	용무늬 방호
7345	13	text	漆塗りの鼎	옻칠한 정
7366	13	text	漆塗りの鼎	옻칠한 정
7387	13	text	漆塗りの鼎	옻칠한 정
7408	13	text	漆塗りの鼎	옻칠한 정
7429	13	text	漆塗りの鼎	옻칠한 정
7450	13	text	金象嵌の壷	금상감 호
7471	13	text	金象嵌の壷	금상감 호
7492	13	text	金象嵌の壷	금상감 호
7513	13	text	金象嵌の壷	금상감 호
7534	13	text	金象嵌の壷	금상감 호
7555	13	text	和氏の璧	화씨지벽
7576	13	text	牛灯	우등
7597	13	text	牛灯	우등
7618	13	text	牛灯	우등
7639	13	text	牛灯	우등
7660	13	text	牛灯	우등
7681	13	text	神獣の硯	신수 벼루
7702	13	text	神獣の硯	신수 벼루
7723	13	text	神獣の硯	신수 벼루
7744	13	text	神獣の硯	신수 벼루
7765	13	text	神獣の硯	신수 벼루
7786	13	text	玉龍紋璧	옥룡문벽
7807	13	text	玉龍紋璧	옥룡문벽
7828	13	text	玉龍紋璧	옥룡문벽
7849	13	text	玉龍紋璧	옥룡문벽
7870	13	text	玉龍紋璧	옥룡문벽
7891	13	text	呂氏鏡	여씨경
7912	13	text	呂氏鏡	여씨경
7933	13	text	呂氏鏡	여씨경
7954	13	text	呂氏鏡	여씨경
7975	13	text	呂氏鏡	여씨경
7996	13	text	青釉穀倉罐	청유곡창관
8017	13	text	青釉穀倉罐	청유곡창관
8038	13	text	青釉穀倉罐	청유곡창관
8059	13	text	青釉穀倉罐	청유곡창관
8080	13	text	青釉穀倉罐	청유곡창관
8101	13	text	酒盃	술잔
8122	13	text	酒盃	술잔
8143	13	text	酒盃	술잔
8164	13	text	酒盃	술잔
8185	13	text	酒盃	술잔
8206	13	text	酒盃	술잔
8227	13	text	酒盃	술잔
8248	13	text	酒盃	술잔
8269	13	text	酒盃	술잔
8290	13	text	酒盃	술잔
8311	13	text	算盤	주판
8332	13	text	算盤	주판
8353	13	text	算盤	주판
8374	13	text	算盤	주판
8395	13	text	算盤	주판
8416	13	text	算盤	주판
8437	13	text	算盤	주판
8458	13	text	算盤	주판
8479	13	text	算盤	주판
8500	13	text	算盤	주판
8521	13	text	茶	차
8542	13	text	茶	차
8563	13	text	茶	차
8584	13	text	茶	차
8605	13	text	茶	차
8626	13	text	茶	차
8647	13	text	茶	차
8668	13	text	茶	차
8689	13	text	琴	거문고
8710	13	text	古い琴	낡은 거문고
8731	13	text	琴	거문고
8752	13	text	琴	거문고
8773	13	text	琴	거문고
8794	13	text	琴	거문고
8815	13	text	琴	거문고
8836	13	text	琴	거문고
8857	13	text	金耳墜	금귀걸이
8878	13	text	金耳墜	금귀걸이
8899	13	text	金耳墜	금귀걸이
8920	13	text	金耳墜	금귀걸이
8941	13	text	金耳墜	금귀걸이
8962	13	text	金耳墜	금귀걸이
8983	13	text	金耳墜	금귀걸이
9004	13	text	金耳墜	금귀걸이
9025	13	text	羅綺香嚢	비단 향낭
9046	13	text	羅綺香嚢	비단 향낭
9067	13	text	羅綺香嚢	비단 향낭
9088	13	text	羅綺香嚢	비단 향낭
9109	13	text	羅綺香嚢	비단 향낭
9130	13	text	羅綺香嚢	비단 향낭
9151	13	text	羅綺香嚢	비단 향낭
9172	13	text	羅綺香嚢	비단 향낭
