offset	cap	jp	ko
5179840	8	人口	인구
5179848	8	残都市	잔도시
5180088	8	状態	상태
5180096	8	資源	자원
5180104	8	方針	방침
5180112	16	軍団選択	군단선택
5180128	16	地図	지도
5180200	24	軍団一覧	군단일람
5180256	8	未知	미지
5180264	8	無視	무시
5180272	8	知己	지기
5180280	8	好意	호의
5180288	8	信頼	신뢰
5180296	8	敬愛	경애
5180432	32	%sの太守を選択して下さい	%s의 태수를 선택하십시오
5180464	32	%sの都督を選択して下さい	%s의 도독을 선택하십시오
5180496	16	%s%s%s所在の%s	%s%s%s 소재 %s
5180512	32	%s%s%s所在の%s%s%s軍・%s	%s%s%s 소재 %s%s%s군・%s
5180544	32	%s%s%s所在の%s%s%s軍配下	%s%s%s 소재 %s%s%s군 휘하
5180576	24	%s%s%s所在の放浪軍%s	%s%s%s 소재 방랑군%s
5180600	24	%s%s%s所在の	%s%s%s 소재
5180624	32	その後の展開を見守りますか？	이후 전개를 지켜보시겠습니까?
5182360	8	魏	위
5182368	8	呉	오
5182376	8	蜀	촉
5182384	8	燕	연
5182392	8	趙	조
5182400	8	斉	제
5182408	8	宋	송
5182416	8	楚	초
5182424	8	韓	한
5182432	8	秦	진
5182440	8	越	월
5182448	8	涼	양
5182456	8	大越	대월
5182464	8	成	성
5182472	8	周	주
5182480	8	魯	노
5182488	8	巴	파
5182496	8	隋	수
5182504	8	陳	진
5182512	8	沛	패
5182520	8	黄	황
5182528	8	商	상
5182536	8	陽	양
5182544	8	夏	하
5182552	8	遼	요
5182560	8	梁	양
5182568	8	殷	은
5182576	8	新	신
5182584	8	金	금
5182592	8	鮮	선
5182600	8	麗	여
5182608	8	北魏	북위
5182616	8	東魏	동위
5182624	8	西魏	서위
5182632	8	東呉	동오
5182640	8	西蜀	서촉
5182648	8	北燕	북연
5182656	8	東燕	동연
5182664	8	北趙	북조
5182672	8	南趙	남조
5182680	8	北斉	북제
5182688	8	東斉	동제
5182696	8	南斉	남제
5182704	8	北宋	북송
5182712	8	南宋	남송
5182720	8	北楚	북초
5182728	8	東楚	동초
5182736	8	北秦	북진
5182744	8	南秦	남진
5182752	8	北越	북월
5182760	8	南越	남월
5182768	8	東越	동월
5182776	8	西越	서월
5182784	8	北涼	북량
5182792	8	南涼	남량
5182800	8	北周	북주
5182808	8	南周	남주
5182816	8	東周	동주
5182824	8	西周	서주
5182832	8	北晋	북진
5182840	8	南晋	남진
5182848	8	東晋	동진
5182856	8	西晋	서진
5182864	8	東夏	동하
5182872	8	西夏	서하
5182880	8	北遼	북요
5182888	8	南遼	남요
5182896	8	東遼	동요
5182904	8	西遼	서요
5182912	8	北梁	북량
5182920	8	南梁	남량
5182928	8	東梁	동량
5182936	8	西梁	서량
5184352	16	劉	유
5184384	8	武勇	무용
5184392	8	知謀	지모
5184400	16	才能	재능
5185088	8	突撃	돌격
5185096	8	乱撃	난격
5185104	8	撹乱	교란
5185112	8	奇襲	기습
5185120	8	槍衾	창벽
5185128	8	車懸	차현
5185136	8	火矢	화시
5185144	8	斉射	제사
5185152	8	乱射	난사
5185160	8	矢嵐	화살비
5185168	8	激流	격류
5185176	8	烈火	열화
5185184	8	落石	낙석
5185192	8	妖術	요술
5185200	8	攻城	공성
5185208	8	武力	무력
5185216	8	知力	지력
5185224	8	政治	정치
5185232	8	魅力	매력
5185240	8	冷静	냉정
5185248	16	勇猛	용맹
5185496	8	金	금
5185504	8	兵糧	병량
5185512	8	兵士	병사
5185680	8	＋	＋
5185688	8	－	－
5185696	8	（	（
5185704	8	）	）
5185712	8	［	［
5185720	8	］	］
5185728	8	／	／
5185736	8	，	，
5185744	8	．	．
5185752	8	Ａ	Ａ
5185760	8	Ｂ	Ｂ
5185768	8	Ｃ	Ｃ
5185776	8	Ｄ	Ｄ
5185784	8	Ｅ	Ｅ
5185792	8	Ｆ	Ｆ
5185800	8	Ｇ	Ｇ
5185808	8	Ｈ	Ｈ
5185816	8	Ｉ	Ｉ
5185824	8	Ｊ	Ｊ
5185832	8	Ｋ	Ｋ
5185840	8	Ｌ	Ｌ
5185848	8	Ｍ	Ｍ
5185856	8	Ｎ	Ｎ
5185864	8	Ｏ	Ｏ
5185872	8	Ｐ	Ｐ
5185880	8	Ｑ	Ｑ
5185888	8	Ｒ	Ｒ
5185896	8	Ｓ	Ｓ
5185904	8	Ｔ	Ｔ
5185912	8	Ｕ	Ｕ
5185920	8	Ｖ	Ｖ
5185928	8	Ｗ	Ｗ
5185936	8	Ｘ	Ｘ
5185944	8	Ｙ	Ｙ
5185952	8	Ｚ	Ｚ
5185960	8	ａ	ａ
5185968	8	ｂ	ｂ
5185976	8	ｃ	ｃ
5185984	8	ｄ	ｄ
5185992	8	ｅ	ｅ
5186000	8	ｆ	ｆ
5186008	8	ｇ	ｇ
5186016	8	ｈ	ｈ
5186024	8	ｉ	ｉ
5186032	8	ｊ	ｊ
5186040	8	ｋ	ｋ
5186048	8	ｌ	ｌ
5186056	8	ｍ	ｍ
5186064	8	ｎ	ｎ
5186072	8	ｏ	ｏ
5186080	8	ｐ	ｐ
5186088	8	ｑ	ｑ
5186096	8	ｒ	ｒ
5186104	8	ｓ	ｓ
5186112	8	ｔ	ｔ
5186120	8	ｕ	ｕ
5186128	8	ｖ	ｖ
5186136	8	ｗ	ｗ
5186144	8	ｘ	ｘ
5186152	8	ｙ	ｙ
5186160	8	ｚ	ｚ
5187104	8	番号	번호
5187112	8	勢力	세력
5187120	8	放浪軍	방랑군
5187128	8	ﾙﾋﾞ	읽기
5187136	8	国号	국호
5187144	8	官爵	관작
5187152	8	君主	군주
5187160	8	軍師	군사
5187168	8	本拠	본거
5187176	8	軍団	군단
5187184	8	都市	도시
5187192	8	武将	무장
5187200	8	擁立	옹립
5187208	8	友好	우호
5187216	8	同盟	동맹
5187224	16	同盟残月	동맹잔월
5187240	16	連合盟主	연합맹주
5187256	16	盟主勢力	맹주세력
5187272	16	連合標的	연합표적
5187288	16	標的勢力	표적세력
5187304	16	加盟勢力	가맹세력
5187320	16	連合残月	연합잔월
5187336	8	旗番号	기번호
5187344	8	隣接	인접
5187352	8	金	금
5187360	8	兵糧	병량
5187368	8	兵士	병사
5187376	8	金収支	금수지
5187384	16	兵糧収支	병량수지
5187400	8	技術Lv	기술Lv
5187408	8	軽歩	경보병
5187416	8	重歩	중보병
5187424	8	蛮兵	만병
5187432	8	軽騎	경기병
5187440	8	重騎	중기병
5187448	8	山騎	산기
5187456	8	弩兵	노병
5187464	8	連弩	연노
5187472	8	象兵	상병
5187480	8	衝車	충차
5187488	8	投石	투석
5187496	8	井闌	정란
5187504	8	蒙衝	몽충
5187512	8	楼船	누선
5187520	8	人口	인구
5187528	24	標的距離	표적거리
5188024	8	友好	우호
5188032	8	連盟	연맹
5188040	8	資源	자원
5188048	8	状態	상태
5188056	8	兵科	병과
5188064	8	兵器	병기
5188072	16	勢力選択	세력선택
5188088	8	地図	지도
5188216	24	勢力一覧	세력일람
5188392	8	歩兵	보병
5188400	8	騎兵	기병
5188408	8	弩兵	노병
5188416	8	船	선
5188424	8	守備	수비
5188432	8	番号	번호
5188440	8	兵科	병과
5188448	8	ﾙﾋﾞ	읽기
5188456	8	系統	계통
5188464	8	編成金	편성금
5188472	8	技術Lv	기술Lv
5188480	8	説明	설명
5188488	8	突撃	돌격
5188496	8	乱撃	난격
5188504	8	撹乱	교란
5188512	8	奇襲	기습
5188520	8	槍衾	창벽
5188528	8	車懸	차현
5188536	8	火矢	화시
5188544	8	斉射	제사
5188552	8	乱射	난사
5188560	8	矢嵐	화살비
5188568	8	激流	격류
5188576	8	烈火	열화
5188584	8	落石	낙석
5188592	8	妖術	요술
5188600	8	攻城	공성
5189024	16	攻城兵器	공성병기
5189040	16	水上兵器	수상병기
5189056	8	番号	번호
5189064	8	兵器	병기
5189072	8	ﾙﾋﾞ	읽기
5189080	8	系統	계통
5189088	8	編成金	편성금
5189096	8	技術Lv	기술Lv
5189104	16	説明	설명
5189216	16	ＨＥＬＰ	HELP
5189256	16	＋  頁切替	＋  쪽전환
5189288	16	チュートリアル	튜토리얼
5189304	24	用語辞典	용어사전
5189344	8	回復	회복
5189352	8	逃亡	도망
5189360	8	愚弄	우롱
5189368	8	威圧	위압
5189376	16	斬り(弱)	베기(약)
5189392	16	斬り(強)	베기(강)
5189408	16	突き(弱)	찌르기(약)
5189424	16	突き(強)	찌르기(강)
5189440	16	隙狙い 突き(弱)	허점 찌르기(약)
5189456	16	隙狙い 突き(強)	허점 찌르기(강)
5189472	32	防御～ダメージ受け(弱)	방어~피해받기(약)
5189504	24	防御～ダメージ受け(強)	방어~피해받기(강)
5189528	8	無防備	무방비
5189536	16	継続	계속
5189824	8	番号	번호
5189832	16	アイテム	아이템
5189848	8	種類	종류
5189856	8	ＣＧ	CG
5189864	8	忠誠	충성
5189872	8	効果	효과
5189880	8	武将	무장
5189888	8	武力	무력
5189896	8	知力	지력
5189904	8	政治	정치
5189912	8	魅力	매력
5189920	8	価格	가격
5189928	8	特技	특기
5189936	8	発掘	발굴
5189944	8	売買	매매
5189952	8	都市	도시
5189960	8	ﾃﾞｰﾀ	데이터
5189968	8	売値	판매가
5189976	8	買値	구매가
5189984	8	説明	설명
5189992	8	能力	능력
5190000	8	名馬	명마
5190008	8	武具	무구
5190016	8	地図	지도
5190024	8	医書	의서
5190032	8	奇書	기서
5190040	8	兵書	병서
5190048	8	経書	경서
5190056	8	史書	사서
5190064	8	論文	논문
5190072	8	玉璽	옥새
5190080	8	宝物	보물
5190088	28	装飾	장식
5191416	16	ｱｲﾃﾑ情報	아이템 정보
5191472	8	種類	종류
5191480	8	能力	능력
5191544	8	特徴	특징
5191552	16	ｱｲﾃﾑ選択	아이템 선택
5191624	16	ｱｲﾃﾑ一覧	아이템 일람
5191784	8	並替	정렬
5191792	8	解除	해제
5191800	8	最大	최대
5191808	8	決定	결정
5191832	16	項目切替	항목전환
5191912	8	済	제
5191920	8	未	미
5191928	8	男	남
5191936	8	女	여
5191944	16	少し	조금
5191960	8	かなり	상당히
5191968	8	仲良く	친하게
5191976	16	気まずく	어색하게
5191992	8	攻撃	공격
5192000	8	守備	수비
5192008	8	勝利	승리
5192016	8	敗北	패배
5192104	8	突撃	돌격
5192112	8	乱撃	난격
5192120	8	撹乱	교란
5192128	8	奇襲	기습
5192136	8	槍衾	창벽
5192144	8	車懸	차현
5192152	8	火矢	화시
5192160	8	斉射	제사
5192168	8	乱射	난사
5192176	8	矢嵐	화살비
5192184	8	激流	격류
5192192	8	烈火	열화
5192200	8	落石	낙석
5192208	8	妖術	요술
5192216	8	攻城	공성
5192224	8	　　	
5192232	8	－	－
5192240	8	－－	－－
5192248	8	－－－	－－－
5192256	16	－－－－	－－－－
5192272	24	－－－－－－－－－－	－－－－－－－－－－
5192400	8	　	
5192408	8	　　　	
5192416	16	　　　　	
5192432	16	　　　　　	
5192448	192	外字	외자
5192640	8	未設定	미설정
5193440	8	番号	번호
5193448	8	武将ID	무장ID
5193456	8	武将	무장
5193464	8	字	자
5193472	8	ﾙﾋﾞ	읽기
5193488	8	性別	성별
5193496	8	身分	신분
5193504	8	所在	소재
5193512	8	軍団	군단
5193520	8	勢力	세력
5193528	8	親密	친밀
5193536	8	埋伏	매복
5193544	8	内通	내통
5193552	8	武力	무력
5193560	8	知力	지력
5193568	8	政治	정치
5193576	8	魅力	매력
5193584	8	悪名	악명
5193592	8	血縁	혈연
5193600	8	相性	상성
5193608	8	義理	의리
5193616	8	野望	야망
5193624	8	冷静	냉정
5193632	8	勇猛	용맹
5193640	8	寿命	수명
5193648	8	有名	유명
5193656	8	成長	성장
5193664	16	戦略傾向	전략경향
5193680	16	人物傾向	인물경향
5193696	8	賊武将	적무장
5193704	16	再仕官禁止武将	재사관금지무장
5193720	16	再仕官禁止期間	재사관금지기간
5193736	8	前仕事	전임무
5193744	8	前成果	전성과
5193752	8	提案	제안
5193760	8	意欲	의욕
5193768	8	命令	명령
5193776	8	成果0	성과0
5193784	8	成果1	성과1
5193792	8	成果2	성과2
5193800	8	成果	성과
5193808	16	特権回数	특권횟수
5193824	8	親	친
5193832	8	生年	생년
5193840	8	年齢	연령
5193848	8	仕官	사관
5193856	16	武力経験	무력경험
5193872	16	知力経験	지력경험
5193888	16	政治経験	정치경험
5193904	16	魅力経験	매력경험
5193920	8	忠誠	충성
5193928	8	階級	계급
5193936	8	俸禄	봉록
5193944	8	功績	공적
5193952	8	失策	실책
5193960	8	名声	명성
5193968	8	健康	건강
5193976	8	兵科	병과
5193984	16	兵士上限	병사상한
5194000	8	実行	실행
5194008	8	行動力	행동력
5194016	8	所持金	소지금
5194024	8	仕事	업무
5194032	8	ｱｲﾃﾑ	아이템
5194040	8	猛者	맹자
5194048	8	智嚢	지낭
5194056	8	治略	치략
5194064	8	人徳	인덕
5194072	8	医術	의술
5194080	8	天文	천문
5194088	8	耕作	경작
5194096	8	商才	상재
5194104	8	築城	축성
5194112	8	警備	경비
5194120	8	発明	발명
5194128	8	威風	위풍
5194136	8	弁舌	변설
5194144	8	反計	반계
5194152	8	挑発	도발
5194160	8	混乱	혼란
5194168	8	虚報	허보
5194176	8	歩兵	보병
5194184	8	騎兵	기병
5194192	8	弩兵	노병
5194200	8	水軍	수군
5194208	8	偵察	정찰
5194216	8	？？	??
5194224	8	突撃	돌격
5194232	8	乱撃	난격
5194240	8	撹乱	교란
5194248	8	奇襲	기습
5194256	8	槍衾	창벽
5194264	8	車懸	차현
5194272	8	火矢	화시
5194280	8	斉射	제사
5194288	8	乱射	난사
5194296	8	矢嵐	화살비
5194304	8	激流	격류
5194312	8	烈火	열화
5194320	8	落石	낙석
5194328	8	妖術	요술
5194336	8	攻城	공성
5194344	8	列伝	열전
5194352	8	仇敵	구적
5194360	8	総大将	총대장
5194368	8	参軍	참군
5194376	8	兵士	병사
5194384	8	兵器	병기
5194392	8	役	역
5194400	8	親友	친우
5194408	8	編集	편집
5194416	8	史実	사실
5194424	8	全能	전능
5194432	8	神眼	신안
5194440	8	鬼謀	귀모
5194448	8	神算	신산
5194456	8	君主	군주
5194464	8	都督	도독
5194472	8	太守	태수
5194480	8	軍師	군사
5194488	8	一般	일반
5194496	8	頭領	두령
5194504	8	同志	동지
5194512	8	在野	재야
5194520	8	未発見	미발견
5194528	8	待機	대기
5194536	8	死亡	사망
5194544	8	－－	－－
5194552	8	軽歩	경보병
5194560	8	重歩	중보병
5194568	8	蛮兵	만병
5194576	8	軽騎	경기병
5194584	8	重騎	중기병
5194592	8	山騎	산기
5194600	8	連弩	연노
5194608	8	象兵	상병
5194616	8	城門	성문
5194624	8	城壁	성벽
5194632	8	門兵	문병
5194640	8	ｹｲﾎ	경보
5194648	8	ｼﾞｭｳﾎ	중보
5194656	8	ﾊﾞﾝﾍｲ	만병
5194664	8	ｹｲｷ	경기
5194672	8	ｼﾞｭｳｷ	중기
5194680	8	ｻﾝｷ	산기
5194688	8	ﾄﾞﾍｲ	노병
5194696	8	ﾚﾝﾄﾞ	연노
5194704	8	ｿﾞｳﾍｲ	상병
5194712	8	ｼﾞｮｳﾓﾝ	성문
5194720	8	ｼﾞｮｳﾍｷ	성벽
5194728	8	ﾓﾝﾍﾟｲ	문병
5194736	8	衝車	충차
5194744	8	投石	투석
5194752	8	井闌	정란
5194760	8	蒙衝	몽충
5194768	8	楼船	누선
5194776	8	ｼｮｳｼｬ	충차
5194784	8	ﾄｳｾｷ	투석
5194792	8	ｾｲﾗﾝ	정란
5194800	8	ﾓｳｼｮｳ	몽충
5194808	8	ﾛｳｾﾝ	누선
5194816	8	猛将型	맹장형
5194824	8	知力型	지력형
5194832	8	政治型	정치형
5194840	8	魅力型	매력형
5194848	8	将軍型	장군형
5194856	8	軍師型	군사형
5194864	8	万能型	만능형
5194872	8	平凡型	평범형
5194880	8	良	양호
5194888	8	軽症	경상
5194896	8	重症	중상
5194904	8	無関心	무관심
5194912	8	内政	내정
5194920	16	バランス	균형
5194936	8	好戦	호전
5194944	8	軍備	군비
5194952	8	謀略	모략
5194960	8	私欲	사욕
5194968	8	能力	능력
5194976	8	義理低	의리저
5194984	8	なし	없음
5194992	8	自宅	자택
5195000	8	宮城	궁성
5195008	8	農村	농촌
5195016	8	市場	시장
5195024	8	屯所	둔소
5195032	8	工房	공방
5195040	8	兵舎	병영
5195048	8	酒家	주점
5195056	8	飯店	반점
5195064	8	初	초
5195072	8	弐	이
5195080	8	参	삼
5195088	8	四	사
5195096	8	五	오
5195104	8	極	극
5195112	8	未	미
5195136	8	飲	음
5195144	8	悪	악
5195152	8	宦	환
5195160	8	文	문
5195168	8	住	주
5195176	8	湖	호
5195184	8	異	이
5195192	8	倭	왜
5195200	8	使	사
5195208	8	衛	위
5195216	8	農	농
5195224	8	兵	병
5195232	8	商	상
5195240	8	大	대
5195248	8	老	노
5195256	8	若	약
5195264	8	富	부
5195272	8	子	자
5195280	8	手	수
5195288	8	職	직
5195296	8	泥	니
5195304	8	旅	여
5195312	8	酒	주
5195320	8	宿	숙
5195328	8	夫	부
5195336	8	小	소
5195344	8	釣	조
5195352	8	暴	폭
5195360	8	質	질
5195368	8	豪	호
5195376	8	闇	암
5195384	8	行	행
5195392	8	女	여
5195400	8	な	
5195408	8	平	평
5195416	8	臣	신
5195424	8	官	관
5195432	8	民	민
5195440	8	賊	적
5195448	8	民族	민족
5195456	8	人	인
5195464	8	者	자
5195472	8	士	사
5195480	8	工	공
5195488	8	娘	낭
5195496	8	供	공
5195504	8	伝	전
5195512	8	棒	봉
5195520	8	那	나
5195528	8	梅	매
5195536	8	屋	옥
5195544	8	の子	의 자식
5195552	16	し	
5195568	16	－	－
5197384	8	能力	능력
5197392	8	所属	소속
5197400	8	実績	실적
5197408	8	個人	개인
5197416	8	人脈	인맥
5197424	8	特技１	특기1
5197432	8	特技２	특기2
5197440	8	特技３	특기3
5197448	8	特技４	특기4
5197456	8	戦法１	전법1
5197464	8	戦法２	전법2
5197472	8	戦法３	전법3
5197480	8	戦法４	전법4
5197488	16	武将選択	무장 선택
5197504	16	個別編成	개별 편성
5197640	24	武将一覧	무장 일람
5197720	24	武将編集	무장 편집
5197800	8	番号	번호
5197808	8	官爵	관작
5197816	8	勢力	세력
5197824	8	説明	설명
5197832	8	、	,
5197840	16	、他%2d勢力	, 외 %2d세력
5197856	8	種類	종류
5197864	8	対象１	대상1
5197872	8	対象２	대상2
5197880	8	対象３	대상3
5197888	8	義兄	의형
5197896	8	義姉	의누나
5197904	8	義弟	의아우
5197912	8	義妹	의누이
5197920	8	夫	남편
5197928	8	妻	아내
5197936	8	父	부
5197944	8	母	모
5197952	8	息子	아들
5197960	8	娘	딸
5197968	8	兄	형
5197976	8	姉	자
5197984	8	弟	제
5197992	8	妹	매
5198000	8	一族	일족
5198008	8	友	우
5198040	16	閉じる	닫기
5198056	8	実行	실행
5198064	8	中止	중지
5198072	16	 はい 	 예 
5198088	16	いいえ	아니요
5198416	16	魅力 100	매력 100
5198640	80	セーブをしないと\n現在のデータが失われます\nタイトル画面に戻りますか？	세이브하지 않으면\n현재 데이터를 잃게 됩니다\n타이틀로 돌아가시겠습니까?
5198720	32	タイトル画面に戻りますか？	타이틀로 돌아가시겠습니까?
5198752	16	軍団方針	군단 방침
5198768	16	都市方針	도시 방침
5198784	16	軍団編成	군단 편성
5198800	8	配属	배속
5198808	8	異動	이동
5198816	8	登用	등용
5198824	8	授与	수여
5198832	8	没収	몰수
5198840	8	太守	태수
5198848	8	軍師	군사
5198856	8	解雇	해고
5198864	8	輸送	수송
5198872	8	出陣	출진
5198880	8	購入	구입
5198888	8	売却	매각
5198896	8	徴兵	징병
5198904	8	反乱	반란
5198912	8	放浪	방랑
5198920	8	贈呈	증정
5198928	8	要求	요구
5198936	8	同盟	동맹
5198944	8	破棄	파기
5198952	8	勧告	권고
5198960	8	連合	연합
5198968	8	脱退	탈퇴
5198976	8	加盟	가맹
5198984	8	離間	이간
5198992	8	破壊	파괴
5199000	8	扇動	선동
5199008	8	内通	내통
5199016	8	埋伏	매복
5199024	8	諜報	첩보
5199032	8	開墾	개간
5199040	8	商業	상업
5199048	8	技術	기술
5199056	8	補修	보수
5199064	8	治安	치안
5199072	8	仕官	사관
5199080	8	納入	납입
5199088	8	引出	인출
5199096	8	買う	구매
5199104	8	売る	판매
5199112	8	討伐	토벌
5199120	8	訓練	훈련
5199128	8	募兵	모병
5199136	8	入金	입금
5199144	8	出金	출금
5199152	8	略奪	약탈
5199160	8	訪問	방문
5199168	8	転居	이주
5199176	8	鍛練	단련
5199184	8	宴会	연회
5199192	8	悪言	악언
5199200	8	下野	하야
5199208	8	発起	발기
5199216	8	会話	대화
5199224	8	寄贈	기증
5199232	8	推挙	천거
5199240	8	見聞	견문
5199248	8	休養	휴양
5199256	8	転地	이전
5199264	8	旗揚	거병
5199272	12	なし	없음
5199288	8	pｭ	
5200144	48	ここで可否メッセージを表示します	여기에 가부 메시지를 표시합니다
5200192	24	選択ダイアログの表示	선택 대화상자 표시
5200216	16	選択肢１	선택지1
5200232	16	選択肢２	선택지2
5200248	16	選択肢３	선택지3
5200264	24	選択肢４	선택지4
5200288	64	ここで\nスチル付ナレーションメッセージを\n表示します	여기서\n스틸 첨부 내레이션 메시지를\n표시합니다
5200720	8	身分	신분
5200728	16	%3d年%02d月	%3d년 %02d월
5200744	8	評定	평정
5200752	8	都市	도시
5200760	16	%3d年開始	%3d년 시작
5200776	8	上級	상급
5200784	8	初級	초급
5200792	8	史実	사실
5200800	8	仮想	가상
5200808	16	－－－－	－－－－
5200824	16	---年--月	---년 --월
5200840	16	---年開始	---년 시작
5201408	16	提案	제안
5201664	16	仕事	업무
5202512	8	ﾄﾂｹﾞｷ	돌격
5202520	8	ﾗﾝｹﾞｷ	난격
5202528	8	ｶｸﾗﾝ	교란
5202536	8	ｷｼｭｳ	기습
5202544	8	ﾔﾘﾌﾞｽﾏ	창벽
5202552	8	ｸﾙﾏｶﾞｶﾘ	차현
5202560	8	ﾋﾔ	화시
5202568	8	ｾｲｼｬ	제사
5202576	8	ﾗﾝｼｬ	난사
5202584	8	ﾔｱﾗｼ	화살비
5202592	8	ｹﾞｷﾘｭｳ	격류
5202600	8	ﾚｯｶ	열화
5202608	8	ﾗｸｾｷ	낙석
5202616	8	ﾖｳｼﾞｭﾂ	요술
5202624	16	ｺｳｼﾞｮｳ	공성
5202640	8	番号	번호
5202648	8	戦法	전법
5202656	8	ﾙﾋﾞ	읽기
5202664	8	熟練	숙련
5202672	8	経験	경험
5202680	8	説明	설명
5202688	8	威力	위력
5202696	8	消費	소비
5202704	8	表示	표시
5202712	8	歩兵	보병
5202720	8	騎兵	기병
5202728	8	弩兵	노병
5202736	8	船	선
5202744	8	軽歩	경보병
5202752	8	重歩	중보병
5202760	8	蛮兵	만병
5202768	8	軽騎	경기병
5202776	8	重騎	중기병
5202784	8	山騎	산기
5202792	8	連弩	연노
5202800	8	象兵	상병
5202808	8	城門	성문
5202816	8	城壁	성벽
5202824	8	衛兵	위병
5202832	8	街道	가도
5202840	8	平地	평지
5202848	8	荒地	황야
5202856	8	草地	초지
5202864	8	森林	삼림
5202872	8	湿地	습지
5202880	8	山	산
5202888	8	浅瀬	여울
5202896	8	川	천
5202904	8	湖	호
5202912	8	城	성
5202920	8	砦	채
