no	sei	sei_yomi	mei	mei_yomi	azana	ko_sei	ko_mei	ko_azana
124	郤	¹Þ·	正	¾²	令先	극	정	영선
125	厳	¹ÞÝ	顔	¶ÞÝ		엄	안	
126	厳	¹ÞÝ	綱	º³		엄	강	
127	厳	¹ÞÝ	畯	¼­Ý	曼才	엄	준	만재
128	厳	¹ÞÝ	白虎	Ê¸º		엄	백호	
129	厳	¹ÞÝ	輿	Ö		엄	여	
130	呉	ºÞ	懿	²	子遠	오	의	자원
131	黄	º³	蓋	¶Þ²	公覆	황	개	공복
132	高	º³	幹	¶Ý	元才	고	간	원재
133	耿	º³	紀	·	季行	경	기	계행
134	黄	º³	権	¹Ý	公衡	황	권	공형
135	黄	º³	皓	º³		황	호	
136	高	º³	順	¼Þ­Ý		고	순	
137	高	º³	翔	¼®³		고	상	
138	侯	º³	成	¾²		후	성	
139	黄	º³	祖	¿		황	조	
140	公孫	º³¿Ý	越	´Â		공손	월	
141	公孫	º³¿Ý	淵	´Ý		공손	연	
142	公孫	º³¿Ý	恭	·®³		공손	공	
143	公孫	º³¿Ý	康	º³		공손	강	
144	公孫	º³¿Ý	〓{F040}	»Ý	伯珪	공손	찬	백규
145	公孫	º³¿Ý	続	¼®¸		공손	속	
146	公孫	º³¿Ý	度	ÄÞ	升済	공손	도	승제
147	公孫	º³¿Ý	範	ÊÝ		공손	범	
148	孔	º³	〓{F05C}	Á­³	公緒	공	주	공서
149	黄	º³	忠	Á­³	漢升	황	충	한승
150	高	º³	定	Ã²		고	정	
151	高	º³	沛	Ê²		고	패	
152	皇甫	º³Î	嵩	½³	義真	황보	숭	의진
153	孔	º³	融	Õ³	文挙	공	융	문거
154	高	º³	覧	×Ý		고	람	
155	呉	ºÞ	巨	·®		오	거	
156	吾	ºÞ	彦	¹ÞÝ	子則	오	언	자칙
157	呉	ºÞ	綱	º³		오	강	
158	呉	ºÞ	質	¼Â	季重	오	질	계중
159	胡	º	車児	¼¬¼Þ		호	거아	
160	胡	º	遵	¼Þ­Ý		호	준	
161	呼	º	廚泉	Á­³¾Ý		호	주천	
162	兀	ºÞÂ	突骨	ÄÂºÂ		올	돌골	
163	胡	º	班	ÊÝ		호	반	
164	呉	ºÞ	班	ÊÝ	元雄	오	반	원웅
165	胡	º	奮	ÌÝ	玄威	호	분	현위
166	顧	º	雍	Ö³	元歎	고	옹	원탄
167	呉	ºÞ	蘭	×Ý		오	란	
168	崔	»²	〓{F080}	´Ý	季珪	최	염	계규
169	蔡	»²	和	¶		채	화	
170	蔡	»²	勳	¸Ý		채	훈	
171	蔡	»²	中	Á­³		채	중	
172	蔡	»²	瑁	ÎÞ³	徳珪	채	모	덕규
173	蔡	»²	〓{F047}	Ö³		채	옹	
174	〓{F077}	»¸	融	Õ³		착	융	
175	左	»	慈	¼Þ	元放	좌	자	원방
176	鄒	½³	靖	¾²		추	정	
177	典	ÃÝ	満	ÏÝ		전	만	
178	〓{F04C}	Î³	会	¶²		방	회	
179	楊	Ö³	弘	º³		양	홍	
180	閻	´Ý	象	¼®³		염	상	
181	士孫	¼¿Ý	瑞	½Þ²	君栄	사손	서	군영
182	司馬	¼ÊÞ	懿	²	仲達	사마	의	중달
183	司馬	¼ÊÞ	炎	´Ý	安世	사마	염	안세
184	司馬	¼ÊÞ	徽	·	徳操	사마	휘	덕조
185	司馬	¼ÊÞ	師	¼	子元	사마	사	자원
186	司馬	¼ÊÞ	昭	¼®³	子尚	사마	소	자상
187	司馬	¼ÊÞ	孚	Ì	叔達	사마	부	숙달
188	司馬	¼ÊÞ	望	ÎÞ³	子初	사마	망	자초
189	司馬	¼ÊÞ	攸	Õ³	大猷	사마	유	대유
190	司馬	¼ÊÞ	朗	Û³	伯達	사마	랑	백달
191	謝	¼¬	旌	¾²		사	정	
192	車	¼¬	冑	Á­³		거	주	
193	沙	¼¬	摩柯	Ï¶		사	마가	
194	朱	¼­	異	²	季文	주	이	계문
195	周	¼­³	昕	·Ý	大明	주	흔	대명
196	周	¼­³	旨	¼		주	지	
197	周	¼­³	倉	¿³		주	창	
198	周	¼­³	泰	À²	幼平	주	태	유평
199	州	¼­³	泰	À²		주	태	
200	周	¼­³	魴	Î³	子魚	주	방	자어
201	周	¼­³	瑜	Õ	公瑾	주	유	공근
202	朱	¼­	桓	¶Ý	休穆	주	환	휴목
203	朱	¼­	拠	·®	子範	주	거	자범
204	祝	¼­¸	融	Õ³		축	융	
205	朱	¼­	儁	¼­Ý	公偉	주	준	공위
206	朱	¼­	然	¾ÞÝ	義封	주	연	의봉
207	朱	¼­	治	Á	君理	주	치	군리
208	朱	¼­	褒	Î³		주	포	
209	朱	¼­	霊	Ú²	文博	주	령	문박
210	荀	¼Þ­Ý	彧	²¸	文若	순	욱	문약
211	淳于	¼Þ­Ý³	瓊	¹²	仲簡	순우	경	중간
212	荀	¼Þ­Ý	諶	¼Ý	友若	순	심	우약
213	荀	¼Þ­Ý	攸	Õ³	公達	순	유	공달
214	蒋	¼®³	〓{F059}	´Ý	公〓{F080}	장	완	공염
215	鍾	¼®³	会	¶²	士季	종	회	사계
216	蒋	¼®³	幹	¶Ý	子翼	장	간	자익
217	蒋	¼®³	義渠	·Þ·®		장	의거	
218	蒋	¼®³	欽	·Ý	公奕	장	흠	공혁
219	蒋	¼®³	済	»²	子通	장	제	자통
220	〓{F058}	¼®³	周	¼­³	允南	초	주	윤남
221	蒋	¼®³	舒	¼Þ®		장	서	
222	向	¼®³	寵	Á®³		상	총	
223	鍾	¼®³	〓{F04D}	Ö³	元常	종	요	원상
224	向	¼®³	朗	Û³	巨達	상	랑	거달
225	徐	¼Þ®	栄	´²		서	영	
226	諸葛	¼®¶Â	恪	¶¸	元遜	제갈	각	원손
227	諸葛	¼®¶Â	瑾	·Ý	子瑜	제갈	근	자유
228	諸葛	¼®¶Â	均	·Ý		제갈	균	
229	諸葛	¼®¶Â	尚	¼®³		제갈	상	
230	諸葛	¼®¶Â	〓{F07E}	¾²	仲思	제갈	정	중사
231	諸葛	¼®¶Â	瞻	¾Ý	思遠	제갈	첨	사원
232	諸葛	¼®¶Â	誕	ÀÝ	公休	제갈	탄	공휴
233	諸葛	¼®¶Â	亮	Ø®³	孔明	제갈	량	공명
234	徐	¼Þ®	晃	º³	公明	서	황	공명
235	徐	¼Þ®	質	¼Â		서	질	
236	徐	¼Þ®	庶	¼®	元直	서	서	원직
237	徐	¼Þ®	盛	¾²	文嚮	서	성	문향
238	徐	¼Þ®	〓{F04E}	ÊÞ¸	景山	서	막	경산
239	沈	¼Ý	瑩	´²		심	영	
240	申	¼Ý	儀	·Þ		신	의	
241	岑	¼Ý	昏	ºÝ		잠	혼	
242	申	¼Ý	耽	ÀÝ	義挙	신	탐	의거
243	審	¼Ý	配	Êß²	正南	심	배	정남
244	辛	¼Ý	〓{F08E}	Ëß	佐治	신	비	좌치
245	辛	¼Ý	評	Ëß®³	仲治	신	평	중치
246	秦	¼Ý	〓{F090}	Ì¸	子〓{F09D}	진	복	자칙
247	〓{F085}	½²	固	º	白兎	수	고	백토
248	成	¾²	宜	·Þ		성	의	
249	石	¾·	苞	Î³	仲容	석	포	중용
250	薛	¾Â	瑩	´²	道言	설	영	도언
251	薛	¾Â	綜	¿³	敬文	설	종	경문
252	全	¾ÞÝ	〓{F092}	²		전	의	
253	単	¾ÞÝ	経	¹²		선	경	
254	全	¾ÞÝ	琮	¿³	子〓{F07A}	전	종	자황
255	全	¾ÞÝ	端	ÀÝ		전	단	
256	曹	¿³	宇	³	彭祖	조	우	팽조
257	曹	¿³	叡	´²	元仲	조	예	원중
258	曹	¿³	奐	¶Ý	景明	조	환	경명
259	曹	¿³	羲	·Þ		조	희	
260	曹	¿³	休	·­³	文烈	조	휴	문열
261	曹	¿³	訓	¸Ý		조	훈	
262	宋	¿³	憲	¹Ý		송	헌	
263	曹	¿³	昂	º³	子脩	조	앙	자수
264	曹	¿³	洪	º³	子廉	조	홍	자렴
265	曹	¿³	純	¼Þ­Ý	子和	조	순	자화
266	曹	¿³	彰	¼®³	子文	조	창	자문
267	曹	¿³	植	¼®¸	子建	조	식	자건
268	曹	¿³	真	¼Ý	子丹	조	진	자단
269	曹	¿³	仁	¼ÞÝ	子孝	조	인	자효
270	曹	¿³	性	¾²		조	성	
271	曹	¿³	操	¿³	孟徳	조	조	맹덕
272	曹	¿³	爽	¿³	昭伯	조	상	소백
273	臧	¿Þ³	覇	Ê	宣高	장	패	선고
274	曹	¿³	丕	Ë	子桓	조	비	자환
275	曹	¿³	豹	Ë®³		조	표	
276	曹	¿³	芳	Î³	蘭卿	조	방	난경
277	曹	¿³	髦	ÎÞ³	彦士	조	모	언사
278	曹	¿³	熊	Õ³		조	웅	
279	沮	¿	授	¼Þ­		저	수	
280	蘇	¿	飛	Ë		소	비	
281	祖	¿	茂	Ó	大栄	조	무	대영
282	孫	¿Ý	異	²		손	이	
283	孫	¿Ý	和	¶	子孝	손	화	자효
284	孫	¿Ý	桓	¶Ý	叔武	손	환	숙무
285	孫	¿Ý	休	·­³	子烈	손	휴	자열
286	孫	¿Ý	匡	·®³	季佐	손	광	계좌
287	孫	¿Ý	〓{F055}	·Ý		손	흠	
288	孫	¿Ý	堅	¹Ý	文台	손	견	문대
289	孫	¿Ý	乾	¹Ý	公祐	손	건	공우
290	孫	¿Ý	権	¹Ý	仲謀	손	권	중모
291	孫	¿Ý	皓	º³	元宗	손	호	원종
292	孫	¿Ý	策	»¸	伯符	손	책	백부
293	孫	¿Ý	秀	¼­³		손	수	
294	孫	¿Ý	峻	¼­Ý	子遠	손	준	자원
295	孫	¿Ý	韶	¼®³	公礼	손	소	공례
296	孫	¿Ý	静	¾²	幼台	손	정	유대
297	孫	¿Ý	〓{F072}	ÁÝ	子通	손	침	자통
298	孫	¿Ý	登	Ä³	子高	손	등	자고
299	孫	¿Ý	瑜	Õ	仲異	손	유	중이
300	孫	¿Ý	翊	Ö¸	叔弼	손	익	숙필
301	孫	¿Ý	亮	Ø®³	子明	손	량	자명
302	孫	¿Ý	礼	Ú²	徳達	손	례	덕달
303	孫	¿Ý	朗	Û³	早安	손	랑	조안
304	太史	À²¼	享	·®³	元復	태사	향	원복
305	太史	À²¼	慈	¼Þ	子義	태사	자	자의
306	帯来	À²×²	洞主	ÄÞ³¼­		대래	동주	
307	卓	À¸	膺	Ö³		탁	응	
308	朶思	ÀÞ¼	大王	ÀÞ²µ³		타사	대왕	
309	譚	ÀÝ	雄	Õ³		담	웅	
310	張	Á®³	允	²Ý		장	윤	
311	趙	Á®³	雲	³Ý	子龍	조	운	자룡
312	張	Á®³	衛	´²		장	위	
313	張	Á®³	英	´²		장	영	
314	張	Á®³	燕	´Ý		장	연	
315	張	Á®³	横	µ³		장	횡	
316	張	Á®³	温	µÝ	恵恕	장	온	혜서
317	張	Á®³	華	¶	茂先	장	화	무선
318	張	Á®³	〓{F056}	¶Þ²		장	개	
319	張	Á®³	既	·	徳容	장	기	덕용
320	張	Á®³	休	·­³	叔嗣	장	휴	숙사
321	張	Á®³	嶷	·Þ®¸	伯岐	장	억	백기
322	張	Á®³	勳	¸Ý		장	훈	
323	張	Á®³	虎	º		장	호	
324	張	Á®³	紘	º³	子綱	장	굉	자강
325	張	Á®³	〓{F043}	º³	儁艾	장	합	준예
326	趙	Á®³	広	º³		조	광	
327	張	Á®³	済	»²		장	제	
328	張	Á®³	繍	¼­³		장	수	
329	張	Á®³	昭	¼®³	子布	장	소	자포
330	張	Á®³	松	¼®³	永年	장	송	영년
331	張	Á®³	紹	¼®³		장	소	
332	張	Á®³	任	¼ÞÝ		장	임	
333	張	Á®³	節	¾Â		장	절	
334	張	Á®³	悌	Ã²	巨先	장	제	거선
335	趙	Á®³	統	Ä³		조	통	
336	張	Á®³	南	ÅÝ	文進	장	남	문진
337	張	Á®³	〓{F04E}	ÊÞ¸	孟卓	장	막	맹탁
338	趙	Á®³	範	ÊÝ		조	범	
339	張	Á®³	飛	Ë	翼徳	장	비	익덕
340	張	Á®³	布	Ì		장	포	
341	張	Á®³	苞	Î³		장	포	
342	張	Á®³	楊	Ö³	雅叔	장	양	아숙
343	張	Á®³	翼	Ö¸	伯恭	장	익	백공
344	張	Á®³	遼	Ø®³	文遠	장	료	문원
345	趙	Á®³	累	Ù²		조	루	
346	張	Á®³	魯	Û	公祺	장	로	공기
347	陳	ÁÝ	横	µ³		진	횡	
348	陳	ÁÝ	宮	·­³	公台	진	궁	공대
349	陳	ÁÝ	矯	·®³	季弼	진	교	계필
350	陳	ÁÝ	羣	¸ÞÝ	長文	진	군	장문
351	陳	ÁÝ	珪	¹²	漢瑜	진	규	한유
352	陳	ÁÝ	騫	¹Ý	休淵	진	건	휴연
353	陳	ÁÝ	寿	¼Þ­	承祚	진	수	승조
354	陳	ÁÝ	式	¼®¸		진	식	
355	陳	ÁÝ	震	¼Ý	孝起	진	진	효기
356	陳	ÁÝ	泰	À²	玄伯	진	태	현백
357	陳	ÁÝ	登	Ä³	元龍	진	등	원룡
358	陳	ÁÝ	到	Ä³	叔至	진	도	숙지
359	陳	ÁÝ	武	ÌÞ	子烈	진	무	자열
360	陳	ÁÝ	蘭	×Ý		진	란	
361	陳	ÁÝ	琳	ØÝ	孔璋	진	림	공장
362	程	Ã²	昱	²¸	仲徳	정	욱	중덕
363	程	Ã²	銀	·ÞÝ		정	은	
364	禰	ÃÞ²	衡	º³	正平	예	형	정평
365	程	Ã²	普	Ì	徳謀	정	보	덕모
366	程	Ã²	武	ÌÞ		정	무	
367	程	Ã²	秉	Í²	徳枢	정	병	덕추
368	丁	Ã²	奉	Î³	承淵	정	봉	승연
369	徹	ÃÂ	里吉	Ø·Â		철	리길	
370	典	ÃÝ	韋	²		전	위	
371	田	ÃÞÝ	楷	¶²		전	해	
372	田	ÃÞÝ	続	¿Þ¸		전	속	
373	田	ÃÞÝ	疇	Á­³	子泰	전	주	자태
374	田	ÃÞÝ	豊	Îß³	元皓	전	풍	원호
375	滕	Ä³	胤	²Ý	承嗣	등	윤	승사
376	董	Ä³	允	²Ý	休昭	동	윤	휴소
377	鄧	Ä³	艾	¶Þ²	士載	등	애	사재
378	董	Ä³	厥	¹Â	〓{F084}襲	동	궐	공습
379	陶	Ä³	謙	¹Ý	恭祖	도	겸	공조
380	鄧	Ä³	賢	¹Ý		등	현	
381	鄧	Ä³	芝	¼	伯苗	등	지	백묘
382	唐	Ä³	咨	¼		당	자	
383	董	Ä³	襲	¼­³	元代	동	습	원대
384	陶	Ä³	濬	¼­Ý		도	준	
385	董	Ä³	承	¼®³		동	승	
386	董	Ä³	昭	¼®³	公仁	동	소	공인
387	董	Ä³	卓	À¸	仲穎	동	탁	중영
388	鄧	Ä³	忠	Á­³		등	충	
389	董	Ä³	荼那	ÄÅ		동	도나	
390	〓{F097}	Ä³	頓	ÄÝ		답	돈	
391	董	Ä³	旻	ËÞÝ	叔穎	동	민	숙영
392	董	Ä³	和	Ü	幼宰	동	화	유재
393	杜	ÄÞ	預	Ö	元凱	두	예	원개
394	裴	Ê²	元紹	¹ÞÝ¼®³		배	원소	
395	馬	ÊÞ	玩	¶ÞÝ		마	완	
396	馬	ÊÞ	休	·­³		마	휴	
397	馬	ÊÞ	鈞	·Ý	徳衡	마	균	덕형
398	馬	ÊÞ	日〓{F06E}	¼ÞÂÃ²	翁叔	마	일제	옹숙
399	馬	ÊÞ	遵	¼Þ­Ý		마	준	
400	馬	ÊÞ	謖	¼®¸	幼常	마	속	유상
401	馬	ÊÞ	岱	À²		마	대	
402	馬	ÊÞ	忠	Á­³		마	충	
403	馬	ÊÞ	忠	Á­³	徳信	마	충	덕신
404	馬	ÊÞ	超	Á®³	孟起	마	초	맹기
405	馬	ÊÞ	鉄	ÃÂ		마	철	
406	馬	ÊÞ	騰	Ä³	寿成	마	등	수성
407	馬	ÊÞ	〓{F04E}	ÊÞ¸		마	막	
408	馬	ÊÞ	良	Ø®³	季常	마	량	계상
409	万	ÊÞÝ	彧	²¸		만	욱	
410	樊	ÊÝ	建	¹Ý	長元	번	건	장원
411	潘	ÊÝ	濬	¼­Ý	承明	반	준	승명
412	潘	ÊÝ	璋	¼®³	文珪	반	장	문규
413	樊	ÊÝ	稠	Á­³		번	주	
414	潘	ÊÝ	鳳	Îß³		반	봉	
415	費	Ë	〓{F092}	²	文偉	비	의	문위
416	卑	Ë	衍	´Ý		비	연	
417	費	Ë	詩	¼	公挙	비	시	공거
418	糜	ËÞ	竺	¼Þ¸	子仲	미	축	자중
419	糜	ËÞ	芳	Î³	子方	미	방	자방
420	武	ÌÞ	安国	±Ýº¸		무	안국	
421	馮	Ì³	習	¼­³	休元	풍	습	휴원
422	傅	Ì	嬰	´²		부	영	
423	伏	Ì¸	完	¶Ý		복	완	
424	傅士	Ì¼	仁	¼ÞÝ	君義	부사	인	군의
425	傅	Ì	僉	¾Ý		부	첨	
426	傅	Ì	巽	¿Ý	公梯	부	손	공제
427	傅	Ì	〓{F067}	Ä³		부	동	
428	文	ÌÞÝ	鴦	µ³		문	앙	
429	文	ÌÞÝ	欽	·Ý	仲若	문	흠	중약
430	文	ÌÞÝ	醜	¼­³		문	추	
431	文	ÌÞÝ	聘	Íß²	仲業	문	빙	중업
432	卞	ÍÞÝ	喜	·		변	희	
433	忙	ÎÞ³	牙長	¶ÞÁ®³		망	아장	
434	逢	Î³	紀	·	元図	봉	기	원도
435	〓{F04C}	Î³	羲	·Þ		방	희	
436	鮑	Î³	信	¼Ý		포	신	
437	法	Î³	正	¾²	孝直	법	정	효직
438	〓{F04C}	Î³	統	Ä³	士元	방	통	사원
439	〓{F04C}	Î³	徳	Ä¸	令明	방	덕	영명
440	鮑	Î³	隆	Ø­³		포	륭	
441	穆	ÎÞ¸	順	¼Þ­Ý		목	순	
442	濮陽	ÎÞ¸Ö³	興	º³	子元	복양	흥	자원
443	木鹿	ÎÞ¸Û¸	大王	ÀÞ²µ³		목록	대왕	
444	歩	Î	〓{F04F}	¼Â	子山	보	즐	자산
445	満	ÏÝ	寵	Á®³	伯寧	만	총	백녕
446	迷当	Ò²Ä³	大王	ÀÞ²µ³		미당	대왕	
447	毛	Ó³	〓{F052}	¶²	孝先	모	개	효선
448	孟	Ó³	獲	¶¸		맹	획	
449	孟	Ó³	達	ÀÂ	子慶	맹	달	자경
450	孟	Ó³	優	Õ³		맹	우	
451	楊	Ö³	懐	¶²		양	회	
452	雍	Ö³	〓{F056}	¶Þ²		옹	개	
453	楊	Ö³	儀	·Þ	威公	양	의	위공
454	羊	Ö³	〓{F078}	º	叔子	양	호	숙자
455	楊	Ö³	醜	¼­³		양	추	
456	楊	Ö³	修	¼­³	徳祖	양	수	덕조
457	楊	Ö³	秋	¼­³		양	추	
458	楊	Ö³	松	¼®³		양	송	
459	楊	Ö³	祚	¿		양	조	
460	楊	Ö³	柏	Ê¸		양	백	
461	楊	Ö³	彪	Ë®³	文先	양	표	문선
462	楊	Ö³	鋒	Î³		양	봉	
463	楊	Ö³	奉	Î³		양	봉	
464	雷	×²	銅	ÄÞ³		뇌	동	
465	雷	×²	薄	Ê¸		뇌	박	
466	駱	×¸	統	Ä³	公緒	낙	통	공서
467	李	Ø	異	²		이	이	
468	李	Ø	恢	¶²	徳昂	이	회	덕앙
469	李	Ø	〓{F046}	¶¸	稚然	이	각	치연
470	陸	Ø¸	凱	¶Þ²	敬風	육	개	경풍
471	陸	Ø¸	抗	º³	幼節	육	항	유절
472	陸	Ø¸	績	¾·	公紀	육	적	공기
473	陸	Ø¸	遜	¿Ý	伯言	육	손	백언
474	李	Ø	厳	¹ÞÝ	正方	이	엄	정방
475	李	Ø	儒	¼Þ­		이	유	
476	李	Ø	粛	¼­¸	偉恭	이	숙	위공
477	李	Ø	典	ÃÝ	曼成	이	전	만성
478	李	Ø	豊	Î³		이	풍	
479	劉	Ø­³	永	´²	公寿	유	영	공수
480	劉	Ø­³	焉	´Ý	君郎	유	언	군랑
481	劉	Ø­³	琦	·		유	기	
482	劉	Ø­³	虞	¸Þ	伯安	유	우	백안
483	劉	Ø­³	勳	¸Ý	子台	유	훈	자대
484	劉	Ø­³	賢	¹Ý		유	현	
485	劉	Ø­³	循	¼Þ­Ý		유	순	
486	劉	Ø­³	璋	¼®³	季玉	유	장	계옥
487	劉	Ø­³	諶	¼Ý		유	심	
488	劉	Ø­³	禅	¾ÞÝ	公嗣	유	선	공사
489	劉	Ø­³	琮	¿³		유	종	
490	劉	Ø­³	岱	À²	公山	유	대	공산
491	劉	Ø­³	度	ÄÞ		유	도	
492	劉	Ø­³	巴	Ê	子初	유	파	자초
493	劉	Ø­³	備	ËÞ	玄徳	유	비	현덕
494	劉	Ø­³	表	Ë®³	景升	유	표	경승
495	劉	Ø­³	豹	Ë®³		유	표	
496	劉	Ø­³	辟	Í·		유	벽	
497	劉	Ø­³	封	Î³		유	봉	
498	劉	Ø­³	曄	Ö³	子揚	유	엽	자양
499	劉	Ø­³	〓{F04D}	Ö³	正礼	유	요	정례
