group	entry	jp	ko
0	10	{0026:7}お前‖⏎{0034:11}お前‖⏎{0036}貴様‖⏎{003B}	{0026:7}네놈‖⏎{0034:11}네놈‖⏎{0036}네놈‖⏎{003B}
0	11	{0026:500}{0026:510}{00CF}N‖⏎{0034:106}父上‖⏎{0036}母上‖⏎{0036}{0026:501}{0026:510}{00CF}N‖⏎{0034:106}兄上‖⏎{0036}姉上‖⏎{0036}{0026:513}{0026:510}{00CF}N‖⏎{0035}{00CF}N‖殿‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}兄者‖⏎{0034:2080}兄貴‖⏎{0036}{0034:1080}{0026:2493}兄者‖⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}兄者‖⏎{0034:1080}兄者‖⏎{0035}義兄上‖⏎{0036}{0035}{0026:1339}姉者‖⏎{0034:1080}姉者‖⏎{0035}義姉上‖⏎{0036}{0036}{0036}{0026:527}{00CF}N‖⏎{0036}{00CF}N‖様‖⏎{003B}	{0026:500}{0026:510}{00CF}N‖⏎{0034:106}아버님‖⏎{0036}어머님‖⏎{0036}{0026:501}{0026:510}{00CF}N‖⏎{0034:106}형님‖⏎{0036}누님‖⏎{0036}{0026:513}{0026:510}{00CF}N‖⏎{0035}{00CF}N‖ 님‖⏎{0036}{0036}{0026:10604}{0026:1339}{0026:2493}형님‖⏎{0034:2080}형님‖⏎{0036}{0034:1080}{0026:2493}형님‖⏎{0036}{0036}{0036}{0026:526}{0026:106}{0026:1339}형님‖⏎{0034:1080}형님‖⏎{0035}매형‖⏎{0036}{0035}{0026:1339}누님‖⏎{0034:1080}누님‖⏎{0035}형수님‖⏎{0036}{0036}{0036}{0026:527}{00CF}N‖⏎{0036}{00CF}N‖ 님‖⏎{003B}
0	12	{0026:500}{0026:510}{00CF}N‖⏎{0034:106}父上‖⏎{0036}母上‖⏎{0036}{0026:501}{0026:510}{00CF}N‖⏎{0034:106}兄上‖⏎{0036}姉上‖⏎{0036}{00CF}N‖⏎{003B}	{0026:500}{0026:510}{00CF}N‖⏎{0034:106}아버님‖⏎{0036}어머님‖⏎{0036}{0026:501}{0026:510}{00CF}N‖⏎{0034:106}형님‖⏎{0036}누님‖⏎{0036}{00CF}N‖⏎{003B}
0	13	{0026:10604}{0026:1339}{0026:3493}兄者‖⏎{0034:3080}兄貴‖⏎{0036}{0034:1080}{0026:3493}兄者‖⏎{0034:3339}{0554:1}張飛‖{0554:0}⏎{0036}{0034:1493}{0026:3080}{0554:1}関羽‖{0554:0}⏎{0034:3339}{0554:1}張飛‖{0554:0}⏎{0034:3233}{0554:1}孔明‖{0554:0}⏎{0036}{0034:1493}{0026:3233}{0554:1}孔明‖{0554:0}⏎{0036}{0034:1204}{0026:3448}我が夫‖⏎{0036}{0034:1448}{0026:3204}{0554:1}祝融‖{0554:0}⏎{0036}{0034:3204}{0554:1}祝融‖{0554:0}夫人‖⏎{0036}{0036}{0026:600}{0026:610}{00D0}N‖⏎{0034:206}父上‖⏎{0036}母上‖⏎{0036}{0026:601}{0026:610}{00D0}N‖⏎{0034:206}兄上‖⏎{0036}姉上‖⏎{0036}{0026:613}{0026:610}{00D0}N‖⏎{0035}{00D0}N‖殿‖⏎{0036}{0036}{0026:626}{0026:206}{0026:1339}兄者‖⏎{0034:1080}兄者‖⏎{0035}義兄上‖⏎{0036}{0035}{0026:1339}姉者‖⏎{0034:1080}姉者‖⏎{0035}義姉上‖⏎{0036}{0036}{0036}{0026:627}{00D0}N‖⏎{0036}{0026:612}{0026:231}陛下‖⏎{0034:230}{0026:10604}{0026:3346}張師君‖⏎{0034:3529}大賢良師様‖⏎{0034:3531}地公将軍様‖⏎{0034:3530}人公将軍様‖⏎{0034:3448}大王様‖⏎{0035}{00D0}N‖様‖⏎{0036}{0035}{00D0}N‖様‖⏎{0036}{0034:30}{00D0}N‖⏎{0034:614}{00D0}N‖殿‖⏎{0036}{0034:230}{00D0}N‖殿‖⏎{0036}{0026:613}{0026:610}{00D0}N‖⏎{0036}{0036}{00D0}N‖殿‖⏎{003B}	{0026:10604}{0026:1339}{0026:3493}형님‖⏎{0034:3080}형님‖⏎{0036}{0034:1080}{0026:3493}형님‖⏎{0034:3339}{0554:1}장비‖{0554:0}⏎{0036}{0034:1493}{0026:3080}{0554:1}관우‖{0554:0}⏎{0034:3339}{0554:1}장비‖{0554:0}⏎{0034:3233}{0554:1}공명‖{0554:0}⏎{0036}{0034:1493}{0026:3233}{0554:1}공명‖{0554:0}⏎{0036}{0034:1204}{0026:3448}서방님‖⏎{0036}{0034:1448}{0026:3204}{0554:1}축융‖{0554:0}⏎{0036}{0034:3204}{0554:1}축융‖{0554:0}부인‖⏎{0036}{0036}{0026:600}{0026:610}{00D0}N‖⏎{0034:206}아버님‖⏎{0036}어머님‖⏎{0036}{0026:601}{0026:610}{00D0}N‖⏎{0034:206}형님‖⏎{0036}누님‖⏎{0036}{0026:613}{0026:610}{00D0}N‖⏎{0035}{00D0}N‖ 님‖⏎{0036}{0036}{0026:626}{0026:206}{0026:1339}형님‖⏎{0034:1080}형님‖⏎{0035}매형‖⏎{0036}{0035}{0026:1339}누님‖⏎{0034:1080}누님‖⏎{0035}형수님‖⏎{0036}{0036}{0036}{0026:627}{00D0}N‖⏎{0036}{0026:612}{0026:231}폐하‖⏎{0034:230}{0026:10604}{0026:3346}장 사군‖⏎{0034:3529}대현량사님‖⏎{0034:3531}지공장군님‖⏎{0034:3530}인공장군님‖⏎{0034:3448}대왕님‖⏎{0035}{00D0}N‖ 님‖⏎{0036}{0035}{00D0}N‖ 님‖⏎{0036}{0034:30}{00D0}N‖⏎{0034:614}{00D0}N‖ 님‖⏎{0036}{0034:230}{00D0}N‖ 님‖⏎{0036}{0026:613}{0026:610}{00D0}N‖⏎{0036}{0036}{00D0}N‖ 님‖⏎{003B}
0	14	{0026:207}彼女‖⏎{0035}彼‖⏎{0036}{003B}	{0026:207}그녀‖⏎{0035}그‖⏎{0036}{003B}
0	15	{01DF:4,3}{0011:4014}	{01DF:4,3}{0011:4014}
0	16	{01DF:5,3}{0011:4014}	{01DF:5,3}{0011:4014}
0	17	{0026:600}{0026:610}{00D0}N‖⏎{0034:206}父上‖⏎{0036}母上‖⏎{0036}{00D0}N‖⏎{003B}	{0026:600}{0026:610}{00D0}N‖⏎{0034:206}아버님‖⏎{0036}어머님‖⏎{0036}{00D0}N‖⏎{003B}
0	18	{0026:600}{0026:610}我が子・‖{00D0}N‖⏎{0034:206}我が父・‖{00D0}N‖⏎{0036}我が母・‖{00D0}N‖⏎{0036}{0026:601}{0026:610}{0026:206}我が弟・‖{00D0}N‖⏎{0036}我が妹・‖{00D0}N‖⏎{0034:206}我が兄・‖{00D0}N‖⏎{0036}我が姉・‖{00D0}N‖⏎{0036}{0026:613}一族の‖{00D0}N‖⏎{0036}{0026:626}{0026:206}我が義兄・‖{00D0}N‖⏎{0035}我が義姉・‖{00D0}N‖⏎{0036}{0036}{0026:627}{0026:206}我が義弟・‖{00D0}N‖⏎{0035}我が義妹・‖{00D0}N‖⏎{0036}{0036}{0026:612}{0026:230}我が主・‖{00D0}N‖⏎{0036}{0036}{00D0}N‖殿‖⏎{003B}	{0026:600}{0026:610}내 아들 ‖{00D0}N‖⏎{0034:206}내 아버지 ‖{00D0}N‖⏎{0036}내 어머니 ‖{00D0}N‖⏎{0036}{0026:601}{0026:610}{0026:206}내 아우 ‖{00D0}N‖⏎{0036}내 누이 ‖{00D0}N‖⏎{0034:206}내 형 ‖{00D0}N‖⏎{0036}내 누나 ‖{00D0}N‖⏎{0036}{0026:613}일족인 ‖{00D0}N‖⏎{0036}{0026:626}{0026:206}내 매형 ‖{00D0}N‖⏎{0035}내 형수 ‖{00D0}N‖⏎{0036}{0036}{0026:627}{0026:206}내 처남 ‖{00D0}N‖⏎{0035}내 처제 ‖{00D0}N‖⏎{0036}{0036}{0026:612}{0026:230}우리 주공 ‖{00D0}N‖⏎{0036}{0036}{00D0}N‖ 님‖⏎{003B}
0	19	{01DF:4,3}{0011:4925}	{01DF:4,3}{0011:4925}
0	20	{0026:613}{0026:610}{00D0}N‖⏎{0035}{00D0}N‖殿‖⏎{0036}{0036}{0026:626}{00D0}N‖殿‖⏎{0036}{0026:627}{00D0}N‖⏎{0036}{00D0}N‖殿‖⏎{003B}	{0026:613}{0026:610}{00D0}N‖⏎{0035}{00D0}N‖ 님‖⏎{0036}{0036}{0026:626}{00D0}N‖ 님‖⏎{0036}{0026:627}{00D0}N‖⏎{0036}{00D0}N‖ 님‖⏎{003B}
0	21	{01DF:4,3}{0011:5368}	{01DF:4,3}{0011:5368}
0	22	{0026:230}{0026:612}{0035}{0027:30}{0026:3015}猿‖⏎{0034:3493}えせ君子‖⏎{0034:3271}姦雄‖⏎{0026:207}{0026:213}女狐‖⏎{0034:214}毒婦‖⏎{0036}{0036}{0036}{0036}{0036}{0026:616}老いぼれ‖⏎{0036}{0026:207}{0026:616}小娘‖⏎{0036}{0035}{0026:616}{0027:30}小僧‖⏎{0036}青二才‖⏎{0036}{0036}{0026:222}匹夫‖⏎{0034:224}臆病者‖⏎{0036}{0026:219}{0027:30}猪武者‖⏎{0036}{0034:213}{0027:30}ほら吹き‖⏎{0036}{0034:220}愚か者‖⏎{0034:221}愚か者‖⏎{0036}{0026:230}{0026:612}{0027:50}逆賊‖⏎{0036}{0036}{0036}{0026:207}女‖⏎{0036}下郎‖⏎{003B}	{0026:230}{0026:612}{0035}{0027:30}{0026:3015}원숭이‖⏎{0034:3493}사이비 군자‖⏎{0034:3271}간웅‖⏎{0026:207}{0026:213}여우‖⏎{0034:214}독부‖⏎{0036}{0036}{0036}{0036}{0036}{0026:616}늙은이‖⏎{0036}{0026:207}{0026:616}계집애‖⏎{0036}{0035}{0026:616}{0027:30}애송이‖⏎{0036}풋내기‖⏎{0036}{0036}{0026:222}필부‖⏎{0034:224}겁쟁이‖⏎{0036}{0026:219}{0027:30}멧돼지‖⏎{0036}{0034:213}{0027:30}허풍쟁이‖⏎{0036}{0034:220}어리석은 자‖⏎{0034:221}어리석은 자‖⏎{0036}{0026:230}{0026:612}{0027:50}역적‖⏎{0036}{0036}{0036}{0026:207}계집‖⏎{0036}하찮은 놈‖⏎{003B}
0	23	{0026:7}{0026:512}{0026:130}ございます‖⏎{0036}{0036}あります‖⏎{0036}{0026:500}{0026:510}ある‖⏎{0036}あります‖⏎{0036}{0026:1339}ある‖⏎{0036}{0026:513}{0026:510}ある‖⏎{0035}あります‖⏎{0036}{0036}{0026:530}{0026:510}ある‖⏎{0035}あります‖⏎{0036}{0036}{0026:512}{0026:30}ある‖⏎{0036}{0026:130}ございます‖⏎{0036}{0026:514}あります‖⏎{0036}{0036}ある‖⏎{003B}	{0026:7}{0026:512}{0026:130}있습니다‖⏎{0036}{0036}있습니다‖⏎{0036}{0026:500}{0026:510}있다‖⏎{0036}있습니다‖⏎{0036}{0026:1339}있다‖⏎{0036}{0026:513}{0026:510}있다‖⏎{0035}있습니다‖⏎{0036}{0036}{0026:530}{0026:510}있다‖⏎{0035}있습니다‖⏎{0036}{0036}{0026:512}{0026:30}있다‖⏎{0036}{0026:130}있습니다‖⏎{0036}{0026:514}있습니다‖⏎{0036}{0036}있다‖⏎{003B}
0	24	{0026:6}{0026:11}お相手いたそう‖⏎{0036}{0035}{0026:23}お相手しよう‖⏎{0036}お相手しましょう‖⏎{0036}相手になろう‖⏎{003B}	{0026:6}{0026:11}상대해 주마‖⏎{0036}{0035}{0026:23}상대해 주지‖⏎{0036}상대해 드리지요‖⏎{0036}상대가 되어 주마‖⏎{003B}
0	25	{0026:7}{0026:512}{0026:130}ございまし‖⏎{0036}{0036}ありまし‖⏎{0036}{0026:500}{0026:510}あっ‖⏎{0036}ありまし‖⏎{0036}{0026:1339}あっ‖⏎{0036}{0026:513}{0026:510}あっ‖⏎{0035}ありまし‖⏎{0036}{0036}{0026:530}{0026:510}あっ‖⏎{0035}ありまし‖⏎{0036}{0036}{0026:512}{0026:30}あっ‖⏎{0036}{0026:130}ございまし‖⏎{0036}{0026:514}ありまし‖⏎{0036}{0036}あっ‖⏎{003B}	{0026:7}{0026:512}{0026:130}있었‖⏎{0036}{0036}있었‖⏎{0036}{0026:500}{0026:510}있었‖⏎{0036}있었‖⏎{0036}{0026:1339}있었‖⏎{0036}{0026:513}{0026:510}있었‖⏎{0035}있었‖⏎{0036}{0036}{0026:530}{0026:510}있었‖⏎{0035}있었‖⏎{0036}{0036}{0026:512}{0026:30}있었‖⏎{0036}{0026:130}있었‖⏎{0036}{0026:514}있었‖⏎{0036}{0036}있었‖⏎{003B}
0	26	{0026:7}んで‖⏎{0036}べ‖⏎{003B}	{0026:7}고‖⏎{0036}고‖⏎{003B}
0	27	{0026:7}びましょう‖⏎{0036}ぼう‖⏎{003B}	{0026:7}습니다‖⏎{0036}다‖⏎{003B}
