idx	code	slot	cond	jp	ko
45	0587	6	{0036}{0036}{0026:530}{0026:510}	ぐ	
45	0587	7	{0035}	ぎます	
45	0587	8	{0036}{0036}{0026:512}{0026:30}	ぐ	
45	0587	9	{0036}{0026:130}	ぎます	
45	0587	10	{0036}{0026:514}	ぎます	
45	0587	11	{0036}{0036}	ぐ	
46	0588	0	{0026:7}	はい	
46	0588	1	{0036}	ははっ	
47	0589	0	{0026:7}	うふふ	
47	0589	1	{0036}	ほう	
48	058A	0	{0026:7}{0027:50}	ぎゃっ	
48	058A	1	{0036}	うっ	
48	058A	2	{0036}{0027:50}	うぐっ	
48	058A	3	{0036}	ぐわっ	
49	058B	0	{0026:7}	言って	
49	058B	1	{0036}	言いおって	
50	058C	0	{0026:7}{0026:23}	いくわよ	
50	058C	1	{0036}	いきますよ	
50	058C	2	{0036}{0026:1339}	いくぞ	
50	058C	3	{0036}{0026:513}{0026:510}	いくぞ	
50	058C	4	{0035}	いきますぞ	
50	058C	5	{0036}{0036}{0026:530}{0026:510}	いくぞ	
50	058C	6	{0035}	いきますぞ	
50	058C	7	{0036}{0036}{0026:23}	参るぞ	
50	058C	8	{0036}	いくぞ	
51	058D	0	{0026:7}{0026:30}	おりません	
51	058D	1	{0036}	いません	
51	058D	2	{0036}{0026:500}{0026:510}	いない	
51	058D	3	{0036}	おりません	
51	058D	4	{0036}{0026:1339}	いない	
51	058D	5	{0036}{0026:513}{0026:510}	いない	
51	058D	6	{0035}	おりません	
51	058D	7	{0036}{0036}{0026:530}{0026:510}	いない	
51	058D	8	{0035}	おりません	
51	058D	9	{0036}{0036}{0026:512}{0026:30}	おらぬ	
51	058D	10	{0036}{0026:130}	おりません	
51	058D	11	{0036}{0026:514}	おりません	
51	058D	12	{0036}{0036}	いない	
52	058E	0	{0026:7}	おります	
52	058E	1	{0036}{0026:500}{0026:510}	いる	
52	058E	2	{0036}	おります	
52	058E	3	{0036}{0026:1339}	いる	
52	058E	4	{0036}{0026:513}{0026:510}	いる	
52	058E	5	{0035}	おります	
52	058E	6	{0036}{0036}{0026:530}{0026:510}	いる	
52	058E	7	{0035}	おります	
52	058E	8	{0036}{0036}{0026:512}{0026:30}	いる	
52	058E	9	{0036}{0026:130}	おります	
52	058E	10	{0036}{0026:514}	おります	
52	058E	11	{0036}{0036}	いる	
53	058F	0	{0026:7}	いました	
53	058F	1	{0036}{0026:500}{0026:510}	いた	
53	058F	2	{0036}	おりました	
53	058F	3	{0036}{0026:1339}	いた	
53	058F	4	{0036}{0026:513}{0026:510}	いた	
53	058F	5	{0035}	おりました	
53	058F	6	{0036}{0036}{0026:530}{0026:510}	いた	
53	058F	7	{0035}	おりました	
53	058F	8	{0036}{0036}{0026:512}{0026:30}	いた	
53	058F	9	{0036}{0026:130}	おりました	
53	058F	10	{0036}{0026:514}	おりました	
53	058F	11	{0036}{0036}{0026:6}	いた	
54	0590	0	{0026:7}	きました	
54	0590	1	{0036}{0026:500}{0026:510}	いた	
54	0590	2	{0036}	きました	
54	0590	3	{0036}{0026:1339}	いた	
54	0590	4	{0036}{0026:513}{0026:510}	いた	
54	0590	5	{0035}	きました	
54	0590	6	{0036}{0036}{0026:530}{0026:510}	いた	
54	0590	7	{0035}	きました	
54	0590	8	{0036}{0036}{0026:512}{0026:30}	いた	
54	0590	9	{0036}{0026:130}	きました	
54	0590	10	{0036}{0026:514}	きました	
